,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,7,464,15906,10724,5274,1434,0.527,0.396,0.833,34.3,23.1,11.4,3.1,63.5,0.192,4.8,27.4
2,2,LAL,D'Angelo Russell,Ohio State,7,408,11979,7280,1456,2247,0.421,0.359,0.778,29.4,17.8,3.6,5.5,13.6,0.055,0.7,8.1
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2,0
4,4,NYK,Kristaps Porzi??is,,6,320,9907,5995,2499,487,0.442,0.353,0.816,31,18.7,7.8,1.5,25,0.121,1.5,8.8
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.4,0.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,7,399,7912,2490,1237,571,0.381,0.3,0.757,19.8,6.2,3.1,1.4,5.5,0.034,-2.8,-1.7
9,9,CHO,Frank Kaminsky,Wisconsin,7,377,7925,3541,1527,619,0.429,0.348,0.743,21,9.4,4.1,1.6,15.3,0.092,-0.3,3.4
10,10,MIA,Justise Winslow,Duke,7,311,8044,2601,1592,781,0.414,0.318,0.637,25.9,8.4,5.1,2.5,8.1,0.048,-2,0
11,11,IND,Myles Turner,Texas,7,431,12379,5485,2879,513,0.489,0.349,0.768,28.7,12.7,6.7,1.2,33.1,0.129,0.7,8.3
12,12,UTA,Trey Lyles,Kentucky,7,432,7771,3298,1840,451,0.439,0.336,0.727,18,7.6,4.3,1,13.4,0.083,-1.1,1.8
13,13,PHO,Devin Booker,Kentucky,7,463,15583,10780,1803,2150,0.454,0.354,0.87,33.7,23.3,3.9,4.6,27.6,0.085,0.3,9
14,14,OKC,Cameron Payne,Murray State,7,262,4551,1929,561,775,0.421,0.365,0.835,17.4,7.4,2.1,3,7.1,0.075,-0.6,1.6
15,15,ATL,Kelly Oubre Jr.,Kansas,7,461,11714,5582,2013,472,0.434,0.331,0.753,25.4,12.1,4.4,1,17,0.07,-1.8,0.6
16,16,BOS,Terry Rozier,Louisville,7,459,11844,5684,1790,1426,0.414,0.374,0.816,25.8,12.4,3.9,3.1,22.4,0.091,0.5,7.6
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5
20,20,TOR,Delon Wright,Utah,7,391,8152,2859,1261,1193,0.452,0.353,0.796,20.8,7.3,3.2,3.1,21.4,0.126,2,8.3
21,21,DAL,Justin Anderson,Virginia,6,232,3041,1203,585,160,0.412,0.293,0.776,13.1,5.2,2.5,0.7,4.7,0.074,-1.4,0.4
22,22,CHI,Bobby Portis,Arkansas,7,435,9367,4816,2832,518,0.471,0.388,0.75,21.5,11.1,6.5,1.2,20.3,0.104,-0.6,3.4
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,7,439,7988,2634,759,1601,0.435,0.342,0.825,18.2,6,1.7,3.6,17.8,0.107,0.3,4.6
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,7,387,9345,3144,2538,739,0.528,0.33,0.684,24.1,8.1,6.6,1.9,24.2,0.125,1.1,7.3
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,7,348,5639,1631,1632,450,0.565,0.172,0.61,16.2,4.7,4.7,1.3,18.9,0.161,-0.4,2.3
31,31,MIN,Cedi Osman,,5,311,7690,3116,1022,670,0.421,0.351,0.718,24.7,10,3.3,2.2,6.9,0.043,-2.5,-0.9
32,32,HOU,Montrezl Harrell,Louisville,7,441,9557,5728,2365,608,0.618,0.118,0.66,21.7,13,5.4,1.4,39.5,0.198,2.9,11.8
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6
35,35,PHI,Willy Hernangómez,,6,289,4367,2089,1681,308,0.537,0.314,0.691,15.1,7.2,5.8,1.1,13.5,0.149,0.2,2.5
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,7,372,7861,3586,2152,401,0.606,0.256,0.745,21.1,9.6,5.8,1.1,26.6,0.162,0.5,4.9
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,7,421,12572,5044,1321,1131,0.427,0.362,0.834,29.9,12,3.1,2.7,22.9,0.088,-0.5,4.8
41,41,BRK,Pat Connaughton,Notre Dame,7,406,7483,2367,1355,505,0.447,0.366,0.791,18.4,5.8,3.3,1.2,17.6,0.113,0,3.7
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,7,419,9378,4732,1083,623,0.462,0.382,0.831,22.4,11.3,2.6,1.5,19.6,0.1,-0.2,4.3
47,47,PHI,Art?ras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0
57,57,DEN,Nikola Radi?evi?,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrovi?,,,,,,,,,,,,,,,,,,
