PLAYER,POS,LANE_AGILITY_TIME,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MAX_BENCH_PRESS,YEAR
Zhou Qi,PF-C,11.27,2.90,3.46,31.50,32.00,-,2016
Malachi Richardson,SG-SF,10.56,3.25,3.33,33.00,38.00,-,2016
Wayne Selden,SG,-,-,-,-,-,-,2016
Pascal Siakam,PF,11.25,3.09,3.41,30.50,36.50,-,2016
Diamond Stone,C,12.02,3.22,3.50,27.00,29.50,-,2016
Caleb Swanigan,PF,12.80,-,-,26.00,29.00,-,2016
Melo Trimble,PG,10.57,2.77,3.20,26.50,35.50,-,2016
Tyler Ulis,PG,10.80,2.88,3.20,32.50,38.00,-,2016
Jarrod Uthoff,PF,11.52,3.03,3.50,29.00,34.50,-,2016
Denzel Valentine,SG-SF,10.51,3.22,3.46,27.00,32.00,-,2016
Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.50,35.50,-,2016
Troy Williams,SF,10.72,3.08,3.35,30.00,36.00,-,2016
Kyle Wiltjer,PF,11.35,3.04,3.48,28.50,35.50,-,2016
Stephen Zimmerman,C,12.08,3.16,3.43,26.00,31.00,-,2016
Edrice Adebayo,PF-C,11.94,3.24,3.24,33.50,38.50,12.00,2017
Rawle Alkins,SG-SF,11.99,3.18,3.30,31.50,40.50,7.00,2017
Jarrett Allen,C,11.82,3.00,3.21,31.50,35.50,4.00,2017
Kadeem Allen,PG,11.24,2.98,3.15,33.00,35.50,7.00,2017
Ike Anigbogu,C,12.52,3.48,3.44,29.50,32.50,11.00,2017
OG Anunoby,SF,-,-,-,-,-,-,2017
Jamel Artis,SG-SF,11.62,3.08,3.44,23.50,31.00,5.00,2017
Dwayne Bacon,SG-SF,11.70,3.22,3.22,30.00,36.50,8.00,2017
V.J. Beachem,SG-SF,11.18,3.19,3.26,30.00,37.00,11.00,2017
Jordan Bell,PF,10.63,2.83,3.21,31.50,38.00,16.00,2017
Jaron Blossomgame,SF,11.47,3.35,3.17,31.00,35.50,16.00,2017
Chris Boucher,PF,-,-,-,-,-,-,2017
Tony Bradley,C,11.79,2.99,3.44,24.50,27.50,5.00,2017
Isaiah Briscoe,PG,10.95,2.85,3.38,28.00,33.50,11.00,2017
Dillon Brooks,SG-SF,11.14,3.24,3.21,31.00,37.50,16.00,2017
Thomas Bryant,PF-C,11.42,3.12,3.37,25.50,33.00,7.00,2017
Zach Collins,PF-C,-,-,-,-,-,-,2017
John Collins,PF,11.66,3.27,3.27,33.00,37.50,15.00,2017
Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.50,44.50,0.00,2017
Tyler Dorsey,SG,10.55,2.98,3.16,30.50,36.00,8.00,2017
Damyean Dotson,SG-SF,11.18,3.03,3.13,31.50,38.00,13.00,2017
PJ Dozier,SG,10.84,2.98,3.15,34.00,39.00,9.00,2017
Jawun Evans,PG,11.34,3.26,3.21,27.50,33.50,1.00,2017
Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.50,38.00,-,2017
De?Aaron Fox,PG,-,-,-,-,-,-,2017
Markelle Fultz,PG,-,-,-,-,-,-,2017
Harry Giles,PF,11.08,3.00,3.34,27.00,32.50,5.00,2017
Josh Hart,SG-SF,11.15,3.02,3.18,27.50,35.50,9.00,2017
Nigel Hayes,PF,11.81,2.94,3.27,29.00,33.50,16.00,2017
Isaiah Hicks,PF,12.31,3.31,3.36,31.50,37.00,11.00,2017
Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.50,36.00,5.00,2017
Frank Jackson,PG,10.94,2.70,3.14,34.50,42.00,9.00,2017
Justin Jackson (UMD),SF,11.78,3.08,3.43,26.50,31.50,-,2017
Justin Jackson (UNC),SF,10.80,3.06,3.30,29.50,35.50,-,2017
Peter Jok,SG-SF,11.34,2.93,3.41,26.50,31.00,-,2017
Luke Kennard,SG-SF,-,-,-,-,-,-,2017
Kyle Kuzma,SF-SG,10.72,2.98,3.25,27.00,34.00,12.00,2017
TJ Leaf,PF,11.55,3.27,3.27,29.00,34.50,6.00,2017
Tyler Lydon,PF,11.68,2.81,3.46,29.50,33.50,1.00,2017
Frank Mason III,PG,11.41,3.09,3.18,34.00,41.00,15.00,2017
Kennedy Meeks,C,12.91,3.35,3.50,28.00,30.50,15.00,2017
Donovan Mitchell,SG,11.53,3.07,3.01,36.50,40.50,10.00,2017
Monte Morris,PG,11.00,3.20,3.19,28.00,33.50,8.00,2017
Johnathan Motley,PF,-,-,-,-,-,-,2017
Svi Mykhailiuk,SG-SF,12.40,3.25,3.53,27.00,33.00,8.00,2017
Semi Ojeleye,SF-SG,10.58,3.07,3.16,35.00,40.50,19.00,2017
Cameron Oliver,PF,12.17,3.31,3.16,28.00,39.50,5.00,2017
Justin Patton,C,11.80,3.31,3.46,26.00,30.50,-,2017
Alec Peters,PF,-,-,-,-,-,-,2017
Ivan Rabb,PF,12.68,3.23,3.35,28.50,32.50,3.00,2017
Davon Reed,SG-SF,11.37,3.21,3.34,28.50,36.00,12.00,2017
Devin Robinson,SF,12.85,3.61,3.23,35.50,41.50,10.00,2017
Kobi Simmons,PG,11.15,2.98,3.18,30.50,38.50,3.00,2017
Edmond Sumner,PG,-,-,-,-,-,-,2017
Caleb Swanigan,PF,-,-,-,-,-,-,2017
Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27.00,30.50,15.00,2017
Melo Trimble,PG,10.75,2.92,3.27,24.50,32.00,6.00,2017
Moritz Wagner,PF,12.00,2.98,3.35,25.50,32.50,-,2017
Derrick Walton Jr.,PG,11.28,3.12,3.29,26.00,32.50,9.00,2017
Thomas Welsh,PF-C,-,-,-,-,-,11.00,2017
Derrick White,PG,10.84,2.92,3.08,31.00,36.50,10.00,2017
Nigel Williams-Goss,PG,10.42,3.08,3.19,27.50,34.50,10.00,2017
D.J. Wilson,PF,-,-,-,-,-,-,2017
Omer Yurtseven,C,12.85,3.30,3.45,26.00,31.50,6.00,2017
Rawle Alkins,SG,11.50,3.09,3.15,32.50,40.50,10.00,2018
Grayson Allen,SG,10.31,3.04,3.15,32.50,40.50,-,2018
Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.50,35.00,0.00,2018
Udoka Azubuike,C,12.97,3.65,3.12,31.00,31.50,11.00,2018
Mohamed Bamba,C,-,-,-,-,-,-,2018
Jaylen Barford,PG-SG,11.39,3.21,3.31,27.00,33.00,7.00,2018
Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.50,35.00,11.00,2018
Tyus Battle,SG,11.04,2.87,3.07,32.00,37.50,9.00,2018
Brian Bowen,SG-SF,11.58,3.33,3.28,30.50,34.00,0.00,2018
Miles Bridges,SF,-,-,-,-,-,-,2018
Bruce Brown,SG-PG,11.11,3.44,3.20,32.50,38.00,17.00,2018
Troy Brown,SF,11.51,3.29,3.33,26.00,33.00,5.00,2018
Jalen Brunson,PG,10.59,3.11,3.15,29.00,37.00,7.00,2018
Tony Carr,PG,11.89,3.40,3.17,25.00,31.50,0.00,2018
Jevon Carter,PG,11.04,3.05,3.18,29.00,36.50,14.00,2018
Wendell Carter,C-PF,-,-,-,-,-,-,2018
Donte DiVincenzo,SG,10.72,3.12,3.11,34.50,42.00,12.00,2018
Hamidou Diallo,SG,10.53,3.14,3.10,32.50,40.50,1.00,2018
Trevon Duval,PG,10.93,3.09,3.18,34.00,41.50,6.00,2018
Carsen Edwards,PG,11.59,3.15,3.20,28.50,34.50,12.00,2018
Keenan Evans,PG,-,-,-,-,-,-,2018
Jacob Evans,SG-SF,11.11,3.14,3.20,28.00,35.50,8.00,2018
Bruno Fernando,C,12.19,3.03,3.23,29.00,35.00,11.00,2018
Melvin Frazier,SF-SG,11.24,3.08,3.08,31.00,40.50,0.00,2018
Shai Gilgeous-Alexander,PG,-,-,-,-,-,-,2018
Devonte Graham,PG,11.28,3.15,3.21,31.00,37.00,14.00,2018
Isaac Haas,C,-,-,-,-,-,-,2018
Devon Hall,SG,10.95,3.16,3.27,25.00,31.00,6.00,2018
Jaylen Hands,PG,12.11,3.16,3.13,31.50,39.50,6.00,2018
Kevin Hervey,PF,11.28,3.15,3.36,27.50,32.00,4.00,2018
Aaron Holiday,PG,10.96,3.22,3.27,25.50,33.00,-,2018
Kevin Huerter,SG,10.89,2.97,3.09,31.00,38.00,9.00,2018
Jaren Jackson,PF-C,-,-,-,-,-,-,2018
Justin Jackson,PF,-,-,-,-,-,-,2018
Alize Johnson,PF,11.83,3.28,3.38,25.00,31.00,8.00,2018
George King,SF-SG,10.75,3.08,3.29,31.00,39.00,15.00,2018
Kevin Knox,SF,-,-,-,-,-,-,2018
Sagaba Konate,C,12.28,3.36,3.28,31.50,35.00,12.00,2018
Caleb Martin,SF-SG,10.43,2.75,3.26,29.00,36.50,6.00,2018
Cody Martin,SG-SF,10.64,3.05,3.09,29.00,36.50,4.00,2018
Yante Maten,PF-C,11.35,3.13,3.17,27.00,31.50,18.00,2018
Brandon McCoy,C,11.77,3.31,3.23,27.50,32.00,9.00,2018
DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.00,36.50,1.00,2018
Chimezie Metu,PF-C,11.89,3.25,3.33,29.50,36.00,5.00,2018
Shake Milton,SG-PG,11.07,3.19,3.25,30.00,33.00,2.00,2018
Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.50,37.00,4.00,2018
Malik Newman,SG,10.90,3.18,3.13,27.50,33.50,-,2018
Josh Okogie,SG,11.08,3.03,3.04,33.00,42.00,12.00,2018
Theo Pinson,SG-SF,11.53,3.11,3.22,27.00,34.00,7.00,2018
Jontay Porter,C-PF,11.90,3.07,3.40,25.50,31.00,9.00,2018
Michael Porter,SF-PF,-,-,-,-,-,-,2018
Billy Preston,PF,11.26,3.35,3.20,25.00,33.00,0.00,2018
Jerome Robinson,SG,-,-,-,-,-,-,2018
Collin Sexton,PG,-,-,-,-,-,-,2018
Landry Shamet,PG,11.26,3.21,3.11,31.00,39.50,8.00,2018
Anfernee Simons,SG-PG,11.27,3.16,3.10,32.00,41.50,1.00,2018
Zhaire Smith,SF-SG,11.02,3.15,3.05,33.00,41.50,10.00,2018
Ray Spalding,PF,11.48,3.20,3.34,26.00,32.00,12.00,2018
Omari Spellman,PF-C,12.28,3.35,3.38,28.50,35.50,8.00,2018
Khyri Thomas,SG,10.96,3.18,3.18,30.00,35.00,14.00,2018
Gary Trent,SG,11.37,2.99,3.12,33.50,39.50,12.00,2018
Allonzo Trier,SG,11.02,2.97,3.14,32.00,40.00,11.00,2018
Moritz Wagner,C-PF,11.48,3.07,3.18,27.00,34.00,8.00,2018
Lonnie Walker,SG,10.87,2.91,3.06,31.50,40.00,12.00,2018
PJ Washington,PF,11.39,3.43,3.20,27.00,34.00,3.00,2018
Austin Wiley,C,12.79,3.27,3.30,28.00,33.50,14.00,2018
Kris Wilkes,SF,11.29,3.16,3.24,28.00,35.50,1.00,2018
Kenrich Williams,SF,10.86,3.28,3.19,28.00,33.00,14.00,2018
Trae Young,PG,-,-,-,-,-,-,2018
Nickeil Alexander-Walker,SG,-,-,-,-,-,-,2019
RJ Barrett,SF,-,-,-,-,-,-,2019
Charles Bassey,C,12.65,3.27,3.53,29.00,33.00,7.00,2019
Darius Bazley,PF,11.09,2.95,3.27,30.50,37.00,4.00,2019
Bol Bol,C,-,-,-,-,-,-,2019
Jordan Bone,SG,9.97,2.78,3.08,36.00,42.50,7.00,2019
Brian Bowen II,SF,10.98,3.21,3.26,32.00,35.50,1.00,2019
Ky Bowman,PG,11.11,3.11,3.26,27.50,33.00,4.00,2019
Ignas Brazdeikis,SF,11.06,3.17,3.36,31.00,36.50,13.00,2019
O'Shae Brissett,SF-PF,11.30,3.18,3.48,34.00,37.50,11.00,2019
Moses Brown,C,11.95,3.30,3.51,27.00,31.00,-,2019
Brandon Clarke,SF,10.61,3.05,3.15,34.00,40.50,10.00,2019
Nicolas Claxton,C,11.26,3.47,3.36,31.50,36.50,8.00,2019
Tyler Cook,PF,11.32,3.10,3.28,27.50,32.00,11.00,2019
Jarrett Culver,SG,-,-,-,-,-,-,2019
Terence Davis,SG,10.69,2.96,3.28,29.50,34.00,13.00,2019
Luguentz Dort,PG,10.79,3.13,3.22,32.50,38.00,14.00,2019
Devon Dotson,PG,10.63,2.80,3.04,30.00,38.50,7.00,2019
Carsen Edwards,PG,10.53,2.82,3.22,28.50,34.00,14.00,2019
Tacko Fall,C,13.01,3.46,3.78,22.00,26.50,8.00,2019
Bruno Fernando,C,11.29,3.05,3.21,29.50,33.50,13.00,2019
Daniel Gafford,PF,11.61,3.19,3.25,32.50,36.50,5.00,2019
Darius Garland,PG,-,-,-,-,-,-,2019
Quentin Grimes,SG,10.83,3.28,3.20,27.50,36.00,6.00,2019
Kyle Guy,SG,10.48,3.07,3.27,30.50,36.50,4.00,2019
Jaylen Hands,PG,10.73,3.03,3.12,33.00,41.50,6.00,2019
Jared Harper,PG,10.77,3.02,3.04,33.50,40.50,8.00,2019
Jaxson Hayes,PF,11.74,3.23,3.37,27.00,34.50,5.00,2019
Dewan Hernandez,C,11.46,3.25,3.28,30.50,35.50,13.00,2019
Tyler Herro,SG,-,-,-,-,-,-,2019
Jalen Hoard,PF,11.44,3.32,3.34,27.50,35.50,8.00,2019
Talen Horton-Tucker,SG,11.34,3.43,3.34,26.00,34.50,10.00,2019
De'Andre Hunter,,-,-,-,-,-,-,2019
DaQuan Jeffries,SF-PF,-,-,-,-,-,-,2019
Ty Jerome,PG,11.21,3.12,3.40,26.00,31.50,2.00,2019
Keldon Johnson,SG,-,-,-,-,-,-,2019
Cameron Johnson,SG,10.52,3.28,3.26,30.50,36.50,-,2019
Mfiondu Kabengele,PF,11.21,3.30,3.25,28.00,35.50,6.00,2019
Louis King,SF,10.99,3.05,3.28,29.00,33.00,0.00,2019
Romeo Langford,SG,-,-,-,-,-,-,2019
Dedric Lawson,PF,11.80,3.54,3.60,23.50,26.00,10.00,2019
Jalen Lecque,PG,11.09,3.30,3.29,35.00,43.00,1.00,2019
Nassir Little,SF,12.15,3.10,3.24,31.00,38.50,5.00,2019
Terance Mann,SG-SF,11.51,3.14,3.30,32.50,38.50,6.00,2019
Cody Martin,PG-SG,10.44,2.99,3.32,28.00,35.50,7.00,2019
Charles Matthews,SG,11.26,3.24,3.38,29.50,37.50,9.00,2019
Jalen McDaniels,SF,11.54,3.23,3.32,29.50,33.50,0.00,2019
Ja Morant,PG,-,-,-,-,-,-,2019
Zach Norvell Jr.,SG,11.60,3.34,3.43,24.00,30.00,-,2019
Jaylen Nowell,SG,10.76,3.13,3.23,32.00,38.50,2.00,2019
Jordan Nwora,PF,-,-,-,-,-,-,2019
Chuma Okeke,,-,-,-,-,-,-,2019
KZ Okpala,SF,10.88,3.13,3.38,30.50,37.00,9.00,2019
Miye Oni,SG,11.71,3.12,3.17,30.50,38.50,19.00,2019
Eric Paschall,SF,11.63,3.26,3.30,33.00,38.00,18.00,2019
Reggie Perry,SF-PF,12.46,3.40,3.30,28.50,31.50,15.00,2019
Shamorie Ponds,PG,11.01,3.07,3.20,29.00,37.00,0.00,2019
Jordan Poole,SG,10.59,3.14,3.27,28.00,35.50,-,2019
Jontay Porter,PF,-,-,-,-,-,-,2019
Kevin Porter Jr.,SG,10.82,3.03,3.14,27.00,34.00,2.00,2019
Neemias Queta,C,12.04,3.45,3.73,24.00,32.50,1.00,2019
Cameron Reddish,SF,-,-,-,-,-,-,2019
Naz Reid,PF,12.03,3.76,3.42,26.00,32.50,3.00,2019
Isaiah Roby,PF,10.63,3.05,3.25,32.50,35.50,9.00,2019
Luka Samanic,PF,11.01,3.03,3.27,27.00,38.00,7.00,2019
Admiral Schofield,SF,10.77,2.87,3.37,30.00,34.00,15.00,2019
Marial Shayok,SF-PF,11.16,3.04,3.37,29.50,36.50,9.00,2019
Simisola Shittu,PF,11.85,3.24,3.30,27.00,35.50,11.00,2019
Killian Tillie,,-,-,-,-,-,-,2019
P.J. Washington,PF,-,-,-,-,-,-,2019
Tremont Waters,PG,10.76,3.11,3.07,30.50,40.50,5.00,2019
Quinndary Weatherspoon,SG,11.57,3.15,3.16,31.00,38.00,-,2019
Coby White,PG,-,-,-,-,-,-,2019
Kris Wilkes,SF,10.39,3.09,3.34,27.50,35.00,4.00,2019
Grant Williams,PF,10.83,3.27,3.33,26.00,31.50,20.00,2019
Zion Williamson,PF,-,-,-,-,-,-,2019
Dylan Windler,SF,10.70,2.94,3.30,29.00,37.50,8.00,2019
Precious Achiuwa,PF,-,-,-,-,-,-,2020
Ty-Shon Alexander,SG,11.33,2.47,3.26,28.00,33.00,-,2020
Udoka Azubuike,C,11.82,3.61,3.23,37.00,41.00,-,2020
Tyler Bey,PF,11.35,2.75,3.17,37.00,43.50,-,2020
Yoeli Childs,PF,10.87,2.42,3.22,34.00,38.50,-,2020
Mamadi Diakite,PF,11.95,2.71,3.16,28.00,37.00,-,2020
Devon Dotson,PG,10.44,2.22,3.02,31.50,40.50,-,2020
Paul Eboua,SF-PF,10.79,2.44,3.19,33.00,35.50,-,2020
CJ Elleby,SG-SF,11.25,2.63,3.25,30.50,36.50,-,2020
Trent Forrest,PG,11.04,2.50,3.18,28.00,34.50,-,2020
Josh Green,SG-SF,10.64,2.28,3.12,30.50,39.50,-,2020
Ashton Hagans,PG,10.82,2.50,3.13,29.50,36.50,-,2020
Joshua Hall,SF,12.16,2.62,3.38,31.50,37.50,-,2020
Jalen Harris,SG,10.59,2.49,3.11,37.50,42.50,-,2020
Markus Howard,PG,11.21,3.17,3.11,30.50,35.50,-,2020
Elijah Hughes,SF-SG,-,-,-,-,-,-,2020
Isaiah Joe,SG,-,-,-,-,-,-,2020
Mason Jones,SG,10.60,2.49,3.33,24.00,31.00,-,2020
Nathan Knight,PF-C,11.56,2.96,3.31,23.00,31.50,-,2020
Theo Maledon,PG,-,-,-,-,-,-,2020
Karim Mane,PG-SG,11.52,2.64,3.04,31.00,36.00,-,2020
Naji Marshall,SF,11.77,2.90,3.37,28.50,35.00,-,2020
Kenyon Martin Jr.,SF-PF,11.93,2.58,3.16,31.50,38.50,-,2020
Skylar Mays,SG,10.65,2.40,3.30,29.00,37.50,-,2020
Zeke Nnaji,PF-C,10.94,2.72,3.20,33.00,38.00,-,2020
Jordan Nwora,SF-PF,11.29,2.66,3.43,29.00,35.00,-,2020
Reggie Perry,PF-C,11.26,2.57,3.25,30.00,33.50,-,2020
Myles Powell,PG-SG,-,-,-,-,-,-,2020
Immanuel Quickley,SG,11.21,2.46,3.17,29.50,35.50,-,2020
Jahmi'us Ramsey,SG,-,-,-,-,-,-,2020
Paul Reed Jr.,PF,12.29,2.67,3.45,26.50,37.50,-,2020
Nick Richards,C,11.42,2.92,3.25,30.00,34.00,-,2020
Grant Riller,PG-SG,11.17,2.45,3.07,32.50,39.50,-,2020
Jayden Scrubb,SG-SF,-,-,-,-,-,-,2020
Jalen Smith,PF-C,-,-,-,-,-,-,2020
Cassius Stanley,SG,11.40,2.43,3.09,34.50,44.00,-,2020
Lamar Stevens,SF-PF,10.35,2.54,3.20,35.00,41.00,-,2020
Isaiah Stewart,C,-,-,-,-,-,-,2020
Tyrell Terry,PG,10.78,2.59,3.28,30.00,34.00,-,2020
Killian Tillie,PF,11.60,2.62,3.40,27.50,32.00,-,2020
Xavier Tillman Sr.,PF-C,11.80,3.01,3.49,26.00,32.50,-,2020
Kaleb Wesson,C,11.73,2.64,3.60,21.50,27.00,-,2020
Kahlil Whitney,SF,11.17,2.61,3.28,29.00,39.00,-,2020
Cassius Winston,PG,11.15,2.74,3.61,24.00,28.00,-,2020
Robert Woodard II,SF,11.10,2.49,3.18,32.00,38.00,-,2020
Max Abmas,PG,10.90,3.49,3.12,28.50,32.50,-,2021
Ochai Agbaji,SG,10.88,3.10,3.13,32.00,41.50,-,2021
Marcus Bagley,SF,12.26,3.10,3.17,32.50,38.50,-,2021
Scottie Barnes,SF,10.88,2.99,3.15,36.00,39.50,-,2021
Charles Bassey,C,12.19,3.33,3.13,33.00,36.00,-,2021
Brandon Boston Jr.,SF,-,-,-,-,-,-,2021
James Bouknight,SG,-,-,-,-,-,-,2021
Greg Brown III,PF,10.98,2.98,3.19,33.50,39.00,-,2021
Jared Butler,PG,-,-,-,-,-,-,2021
Julian Champagnie,SF,12.38,3.20,3.20,26.00,32.00,-,2021
Justin Champagnie,PF,11.94,3.14,3.34,27.00,35.00,-,2021
Josh Christopher,SG,11.32,3.30,3.14,29.50,37.50,-,2021
Sharife Cooper,PG,-,-,-,-,-,-,2021
Cade Cunningham,PG,-,-,-,-,-,-,2021
Ayo Dosunmu,SG,11.51,3.27,3.23,27.00,33.50,-,2021
David Duke Jr.,SG,11.21,3.19,3.08,30.00,39.00,-,2021
Kessler Edwards,PF,11.30,3.38,3.25,28.00,37.00,-,2021
Luka Garza,C,11.90,3.38,3.51,24.00,29.50,-,2021
RaiQuan Gray,PF,11.69,3.30,3.25,26.50,31.50,-,2021
Jalen Green,SG,-,-,-,-,-,-,2021
Quentin Grimes,SG,11.09,3.33,3.07,30.50,38.50,-,2021
Sam Hauser,SF,11.14,3.07,3.34,28.50,34.50,-,2021
Aaron Henry,SF,11.68,3.18,3.07,29.00,35.00,-,2021
Ariel Hukporti,C,12.20,3.53,3.12,24.50,31.00,-,2021
Matt Hurt,PF,11.44,3.25,3.34,25.50,32.50,-,2021
Nah'Shon Hyland,SG,10.53,3.17,3.10,26.50,34.00,-,2021
Isaiah Jackson,C,-,-,-,-,-,-,2021
David Johnson,SG,12.02,3.20,3.03,33.00,39.00,-,2021
Jalen Johnson,PF,-,-,-,-,-,-,2021
Keon Johnson,SG,11.45,3.20,3.00,41.50,48.00,-,2021
Carlik Jones,PG,10.96,3.23,3.16,31.50,36.00,-,2021
Kai Jones,PF,-,-,-,-,-,-,2021
Herbert Jones,SF,11.02,3.17,3.25,28.50,36.50,-,2021
Johnny Juzang,SG,11.13,3.08,3.13,31.00,36.50,-,2021
Corey Kispert,SF,10.91,2.99,3.12,30.00,37.50,-,2021
Jonathan Kuminga,SF,-,-,-,-,-,-,2021
AJ Lawson,SG-SF,11.00,3.01,2.98,33.00,41.00,-,2021
Scottie Lewis,SF,10.45,3.03,2.98,34.00,42.00,-,2021
Isaiah Livers,SF,-,-,-,-,-,-,2021
Makur Maker,C,11.87,3.28,3.34,25.50,31.00,-,2021
Sandro Mamukelashvili,C,11.63,3.30,3.21,30.50,36.50,-,2021
Tre Mann,PG,-,-,-,-,-,-,2021
Matthew Mayer,PF,-,-,-,-,-,-,2021
Miles McBride,PG,11.08,3.13,3.10,31.00,38.50,-,2021
Davion Mitchell,PG,-,-,-,-,-,-,2021
Evan Mobley,PF,-,-,-,-,-,-,2021
Isaiah Mobley,PF,12.70,3.50,3.30,26.50,32.00,-,2021
Moses Moody,SG,-,-,-,-,-,-,2021
Trey Murphy III,SF,11.65,3.32,3.14,34.00,38.00,-,2021
Daishen Nix,PG,11.72,3.18,3.00,29.50,36.50,-,2021
John Petty Jr.,SG,11.51,3.17,3.35,27.50,34.00,-,2021
Yves Pons,PF,10.89,3.05,3.10,36.00,42.50,-,2021
Jason Preston,PG,10.82,3.08,3.13,30.50,38.50,-,2021
Joshua Primo,SG,10.97,3.36,3.22,30.50,37.50,-,2021
Roko Prkacin,PF,-,-,-,-,-,-,2021
Neemias Queta,C,11.85,3.50,3.29,27.00,33.00,-,2021
Austin Reaves,SG,10.94,3.19,3.07,25.00,35.00,-,2021
Jeremiah Robinson-Earl,PF,11.64,3.15,3.29,27.00,32.00,-,2021
Terrence Shannon Jr.,SF,11.51,3.12,3.21,32.50,39.50,-,2021
Day'Ron Sharpe,C,-,-,-,-,-,-,2021
Jericho Sims,C,11.59,3.38,3.05,37.00,44.50,-,2021
Jaden Springer,SG,11.46,3.10,3.13,34.50,41.50,-,2021
DJ Steward,PG,11.14,3.10,3.08,34.50,38.50,-,2021
Cam Thomas,SG,-,-,-,-,-,-,2021
JT Thor,PF,12.19,3.08,3.06,31.50,35.00,-,2021
Isaiah Todd,PF,11.38,3.25,3.31,28.50,35.50,-,2021
Duane Washington Jr.,SG,11.50,3.06,3.17,29.50,35.50,-,2021
Trendon Watford,PF,11.69,3.23,3.27,28.00,35.00,-,2021
Joe Wieskamp,SF,10.70,3.18,3.04,30.00,42.00,-,2021
Aaron Wiggins,SG-SF,11.20,3.00,3.04,29.50,36.00,-,2021
Ziaire Williams,SF,10.69,3.04,3.12,34.00,39.50,-,2021
Moses Wright,PF,11.20,3.42,3.15,31.50,38.00,-,2021
McKinley Wright IV,PG,10.76,3.12,3.08,31.50,38.00,-,2021
Marcus Zegarowski,PG,11.47,3.26,3.11,30.00,35.50,-,2021
