PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Max Abmas,PG,0.06,8,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75'',2021
Ochai Agbaji,SG,0.04,9,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0,2021
Marcus Bagley,SF,0.08,8.75,8.5,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0'',2021
Scottie Barnes,SF,0.05,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75'',2021
Charles Bassey,C,0.06,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0'',2021
Brandon Boston Jr.,SF,0.06,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75'',2021
James Bouknight,SG,0.06,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25'',2021
Greg Brown III,PF,0.06,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25'',2021
Jared Butler,PG,0.05,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0'',2021
Julian Champagnie,SF,0.08,9,8.5,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0'',2021
Justin Champagnie,PF,0.06,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5'',2021
Josh Christopher,SG,0.06,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25'',2021
Sharife Cooper,PG,-%,-,-,,,,-,,2021
Cade Cunningham,PG,-%,-,-,,,,-,,2021
Ayo Dosunmu,SG,0.05,8.5,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25'',2021
David Duke Jr.,SG,0.06,8.5,9,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75'',2021
Kessler Edwards,PF,0.04,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25'',2021
Luka Garza,C,0.12,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5'',2021
RaiQuan Gray,PF,0.17,9.25,9,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75'',2021
Jalen Green,SG,-%,-,-,,,,-,,2021
Quentin Grimes,SG,0.07,8.5,10,6'4.0'',6'5.25'',8'5.0'',205,6'8.0'',2021
Sam Hauser,SF,0.08,8.25,9,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25'',2021
Aaron Henry,SF,0.06,8.5,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75'',2021
Ariel Hukporti,C,0.08,9.5,9.5,6'10.75'',7'0.0'',9'3.5'',246,7'2.5'',2021
Matt Hurt,PF,0.15,9,9,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5'',2021
Nah'Shon Hyland,SG,0.06,8.75,9,6'2.0'',6'3.5'',8'5.5'',169,6'9.25'',2021
Isaiah Jackson,C,-%,-,-,,,,-,,2021
David Johnson,SG,0.08,8.25,8.5,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5'',2021
Jalen Johnson,PF,0.05,9.75,10.5,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25'',2021
Keon Johnson,SG,0.04,8.5,9,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25'',2021
Carlik Jones,PG,0.05,8.25,9,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0'',2021
Kai Jones,PF,0.05,9,9.5,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75'',2021
Herbert Jones,SF,0.06,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25'',2021
Johnny Juzang,SG,0.08,8.5,9.5,6'5.5'',6'7.0'',8'4.5'',209,6'10.5'',2021
Corey Kispert,SF,0.07,8.75,10,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0'',2021
Jonathan Kuminga,SF,-%,-,-,,,,-,,2021
AJ Lawson,SG-SF,0.04,8.5,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75'',2021
Scottie Lewis,SF,0.05,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0'',2021
Isaiah Livers,SF,0.09,9,9.5,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25'',2021
Makur Maker,C,0.15,8.75,9.5,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75'',2021
Sandro Mamukelashvili,C,0.08,9,9.5,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25'',2021
Tre Mann,PG,0.04,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0'',2021
Matthew Mayer,PF,-%,-,-,,,,-,,2021
Miles McBride,PG,0.06,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75'',2021
Davion Mitchell,PG,0.06,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25'',2021
Evan Mobley,PF,-%,-,-,,,,-,,2021
Isaiah Mobley,PF,0.13,9,10,6'8.0'',6'9.75'',8'11.5'',238,7'3.0'',2021
Moses Moody,SG,0.07,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75'',2021
Trey Murphy III,SF,0.08,8.5,9,6'7.5'',6'9.25'',8'9.5'',206,7'0.0'',2021
Daishen Nix,PG,0.12,8.5,9,6'3.0'',6'4.25'',8'4.0'',225.6,6'6.75'',2021
John Petty Jr.,SG,0.06,8.5,9,6'4.5'',6'5.75'',8'7.5'',186.2,6'9.5'',2021
Yves Pons,PF,0.04,9,9.25,6'5.5'',6'6.75'',8'8.0'',206.4,7'0.75'',2021
Jason Preston,PG,0.05,8.5,9.25,6'3.0'',6'4.0'',8'4.5'',180.6,6'8.5'',2021
Joshua Primo,SG,0.06,9,10,6'4.0'',6'5.0'',8'6.5'',189,6'9.25'',2021
Roko Prkacin,PF,0.07,8.75,9.25,6'7.5'',6'9.25'',8'11.0'',225.4,6'11.0'',2021
Neemias Queta,C,0.08,9.25,10.5,6'11.25'',7'0.5'',9'4.5'',248.4,7'4.0'',2021
Austin Reaves,SG,0.11,8,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25'',2021
Jeremiah Robinson-Earl,PF,0.09,9,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75'',2021
Terrence Shannon Jr.,SF,0.07,8,8,6'5.5'',6'6.5'',8'4.0'',206.6,6'8.25'',2021
Day'Ron Sharpe,C,-%,-,-,,,,-,,2021
Jericho Sims,C,0.06,9,9.75,6'9.0'',6'10.0'',8'10.0'',250.2,7'3.25'',2021
Jaden Springer,SG,0.06,8.5,9.75,6'3.0'',6'4.25'',8'3.0'',202,6'7.75'',2021
DJ Steward,PG,0.05,8.5,9,6'0.75'',6'1.75'',8'2.5'',162.2,6'7.0'',2021
Cam Thomas,SG,-%,-,-,,,,-,,2021
JT Thor,PF,0.06,9.25,9.5,6'8.5'',6'9.25'',9'2.0'',203,7'3.25'',2021
Isaiah Todd,PF,0.06,9,9.75,6'8.75'',6'10.0'',8'11.5'',219,7'1.25'',2021
Duane Washington Jr.,SG,0.05,8.25,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75'',2021
Trendon Watford,PF,0.1,9.5,9.5,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25'',2021
Joe Wieskamp,SF,0.04,8.5,9.25,6'5.75'',6'7.25'',8'7.0'',204.8,6'11.0'',2021
Aaron Wiggins,SG-SF,0.05,8.75,8.5,6'4.5'',6'5.0'',8'7.0'',190,6'9.75'',2021
Ziaire Williams,SF,0.04,9,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25'',2021
Moses Wright,PF,0.06,9,9.5,6'7.75'',6'9.0'',8'11.0'',225.8,7'0.75'',2021
McKinley Wright IV,PG,0.07,8.5,9,5'11.25'',6'0.25'',7'10.0'',192.2,6'5.25'',2021
Marcus Zegarowski,PG,0.07,8,9.5,6'0.75'',6'2.0'',8'0.0'',180.8,6'2.75',2021
Precious Achiuwa,PF,0.07,9,10,6'7.50'',6'8.75'',9'0.50'',234,7'0.75'',2020
Ty-Shon Alexander,SG,0.12,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00'',2020
Udoka Azubuike,C,0.1,9.25,10,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25'',2020
Tyler Bey,PF,0.05,8.5,9,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25'',2020
Yoeli Childs,PF,0.08,8.75,10,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50'',2020
Mamadi Diakite,PF,0.08,9,10.25,6'8.50'',6'10.25'',8'11.00'',222.1,7'3.75'',2020
Devon Dotson,PG,0.05,8.25,10,6'0.50'',6'1.75'',7'11.00'',185.2,6'3.00'',2020
Paul Eboua,SF-PF,0.04,9,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50'',2020
CJ Elleby,SG-SF,0.04,8.75,10,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25'',2020
Trent Forrest,PG,0.06,9,9.75,6'3.50'',6'4.75'',8'6.50'',203,6'7.50'',2020
Josh Green,SG-SF,0.07,8,8.75,6'4.50'',6'5.50'',8'5.50'',214,6'9.75'',2020
Ashton Hagans,PG,0.04,9,9,6'1.50'',6'2.50'',8'3.50'',193,6'8.00'',2020
Joshua Hall,SF,0.08,8.75,9.5,6'6.00'',6'7.50'',8'8.50'',196.6,6'11.00'',2020
Jalen Harris,SG,0.04,8.25,9.5,6'2.75'',6'4.25'',8'1.50'',193.4,6'7.00'',2020
Markus Howard,PG,0.1,8.5,7.75,5'9.50'',5'11.00'',7'7.50'',170.8,6'0.25'',2020
Elijah Hughes,SF-SG,0.1,8.5,8.75,6'4.75'',6'6.50'',8'5.50'',229,6'7.50'',2020
Isaiah Joe,SG,0.05,8.25,8.25,6'3.00'',6'4.50'',8'5.00'',170.4,6'7.50'',2020
Mason Jones,SG,0.09,8.75,8.5,6'3.75'',6'5.75'',8'6.50'',207.2,6'7.00'',2020
Nathan Knight,PF-C,0.08,9,9.5,6'8.00'',6'9.75'',9'1.50'',235,7'2.00'',2020
Theo Maledon,PG,0.03,8.5,10,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75'',2020
Karim Mane,PG-SG,0.04,8.5,9.75,6'5.00'',6'6.00'',8'6.00'',196,6'11.00'',2020
Naji Marshall,SF,0.09,9.25,10.5,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75'',2020
Kenyon Martin Jr.,SF-PF,0.06,8.5,8.75,6'6.00'',6'7.00'',8'6.00'',213.2,6'7.25'',2020
Skylar Mays,SG,0.07,8,9.75,6'3.00'',6'4.00'',8'3.00'',204,6'6.00'',2020
Zeke Nnaji,PF-C,0.06,9,10.5,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00'',2020
Jordan Nwora,SF-PF,0.12,8.5,9.25,6'5.75'',6'7.00'',8'8.00'',223,6'10.25'',2020
Reggie Perry,PF-C,0.08,9.25,11,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25'',2020
Myles Powell,PG-SG,0.16,8,9,6'0.50'',6'1.50'',8'3.00'',194,6'7.00'',2020
Immanuel Quickley,SG,0.08,8,8.75,6'2.00'',6'3.00'',8'3.00'',185.8,6'8.25'',2020
Jahmi'us Ramsey,SG,0.03,8.75,9.75,6'2.50'',6'3.75'',8'4.50'',193.4,6'6.00'',2020
Paul Reed Jr.,PF,0.07,9,8.75,6'8.50'',6'9.25'',9'1.50'',219.2,7'2.00'',2020
Nick Richards,C,0.09,9,9,6'10.50'',6'11.50'',9'2.00'',241.6,7'2.25'',2020
Grant Riller,PG-SG,0.05,8,8.5,6'0.25'',6'1.00'',8'0.50'',178.4,6'5.25'',2020
Jayden Scrubb,SG-SF,0.04,8.25,9.75,6'5.00'',6'6.25'',8'8.50'',185.2,6'9.50'',2020
Jalen Smith,PF-C,0.04,9.25,9.25,6'9.25'',6'10.25'',9'2.00'',224.6,7'2.25'',2020
Cassius Stanley,SG,0.06,8.25,9,6'5.00'',6'6.25'',8'3.50'',201.6,6'7.00'',2020
Lamar Stevens,SF-PF,0.07,8.5,9.75,6'5.75'',6'6.75'',8'5.00'',228,6'9.00'',2020
Isaiah Stewart,C,0.08,9,10.5,6'7.25'',6'8.50'',9'0.50'',243,7'4.75'',2020
Tyrell Terry,PG,0.08,7.5,8.25,6'1.50'',6'3.00'',8'0.00'',170,6'1.75'',2020
Killian Tillie,PF,0.12,8.25,9.25,6'8.75'',6'10.00'',8'10.00'',221.6,6'8.00'',2020
Xavier Tillman Sr.,PF-C,0.09,10.25,11,6'7.50'',6'8.50'',8'10.00'',266.5,7'2.00'',2020
Kaleb Wesson,C,0.13,9,10.75,6'9.25'',6'10.25'',9'3.50'',252.6,7'3.50'',2020
Kahlil Whitney,SF,0.05,9.25,10.25,6'5.50'',6'7.00'',8'9.50'',205,7'0.25'',2020
Cassius Winston,PG,0.09,8.75,8.25,6'0.50'',6'1.50'',8'1.00'',196,6'6.00'',2020
Robert Woodard II,SF,0.05,9,10.75,6'5.50'',6'7.00'',8'9.50'',230.2,7'2.00',2020
Nickeil Alexander-Walker,SG,0.06,8.5,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5'',2019
RJ Barrett,SF,-%,-,-,,,,-,,2019
Charles Bassey,C,0.09,9.25,9.5,6' 8.75'',6' 10'',9' 1.5'',239,7' 3.5'',2019
Darius Bazley,PF,0.04,9,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0'',2019
Bol Bol,C,0.07,9.25,9.5,7' 0.75'',7' 2.5'',9' 7.5'',208,7' 7'',2019
Jordan Bone,SG,0.05,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25'',2019
Brian Bowen II,SF,0.07,8.5,9.75,6' 6.25'',6' 7.5'',8' 7'',200,6' 10'',2019
Ky Bowman,PG,0.05,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7'',2019
Ignas Brazdeikis,SF,0.06,8.75,9.5,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25'',2019
O'Shae Brissett,SF-PF,0.03,9,9.5,6' 7'',6' 8'',8' 8'',203.2,7' 0'',2019
Moses Brown,C,0.08,9.5,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75'',2019
Brandon Clarke,SF,0.05,8.25,9.5,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25'',2019
Nicolas Claxton,C,0.05,9.25,9.5,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5'',2019
Tyler Cook,PF,0.06,9.5,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5'',2019
Jarrett Culver,SG,0.05,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5'',2019
Terence Davis,SG,0.04,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75'',2019
Luguentz Dort,PG,0.05,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5'',2019
Devon Dotson,PG,0.06,8.25,9.5,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25'',2019
Carsen Edwards,PG,0.06,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6'',2019
Tacko Fall,C,0.07,10.5,10.5,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25'',2019
Bruno Fernando,C,0.05,9.25,10,6' 8.75'',6' 10.25'',9' 2'',237,7' 3.25'',2019
Daniel Gafford,PF,0.06,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25'',2019
Darius Garland,PG,-%,-,-,,,,-,,2019
Quentin Grimes,SG,0.08,8.25,10,6' 4'',6' 5.25'',8' 4.5'',209.6,6' 7.75'',2019
Kyle Guy,SG,0.06,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5'',2019
Jaylen Hands,PG,0.05,8,8.25,6' 1.5'',6' 3'',8' 1'',180.4,6' 5.5'',2019
Jared Harper,PG,0.04,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5'',2019
Jaxson Hayes,PF,0.05,9.25,10.5,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5'',2019
Dewan Hernandez,C,0.06,9.5,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75'',2019
Tyler Herro,SG,0.07,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25'',2019
Jalen Hoard,PF,0.07,8.75,9.75,6' 7.25'',6' 9'',8' 9.5'',212.6,7' 0.75'',2019
Talen Horton-Tucker,SG,0.08,9.5,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25'',2019
De'Andre Hunter,,-%,-,-,,,,-,,2019
DaQuan Jeffries,SF-PF,0.04,9.5,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25'',2019
Ty Jerome,PG,0.07,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4'',2019
Keldon Johnson,SG,0.06,8,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25'',2019
Cameron Johnson,SG,0.06,8,8.5,6' 7'',6' 8.5'',8' 7'',205.2,6' 10'',2019
Mfiondu Kabengele,PF,0.05,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3'',2019
Louis King,SF,0.05,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25'',2019
Romeo Langford,SG,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11'',2019
Dedric Lawson,PF,0.09,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233,7' 2.25'',2019
Jalen Lecque,PG,0.04,8.75,8.5,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5'',2019
Nassir Little,SF,0.06,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25'',2019
Terance Mann,SG-SF,0.04,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75'',2019
Cody Martin,PG-SG,0.05,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25'',2019
Charles Matthews,SG,0.04,8.5,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5'',2019
Jalen McDaniels,SF,0.06,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25'',2019
Ja Morant,PG,-%,-,-,,,,-,,2019
Zach Norvell Jr.,SG,0.08,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6'',2019
Jaylen Nowell,SG,0.06,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25'',2019
Jordan Nwora,PF,0.08,8.5,9.25,6' 5.75'',6' 7.5'',8' 7'',220,6' 10.5'',2019
Chuma Okeke,,-%,-,-,,,,-,,2019
KZ Okpala,SF,0.05,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75'',2019
Miye Oni,SG,0.05,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75'',2019
Eric Paschall,SF,0.06,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75'',2019
Reggie Perry,SF-PF,0.07,9,10,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5'',2019
Shamorie Ponds,PG,0.1,7.75,8,5' 11.5'',6' 0.5'',8' 0.5'',180,6' 3.5'',2019
Jordan Poole,SG,0.08,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75'',2019
Jontay Porter,PF,0.09,8.75,9.5,6' 9.75'',6' 11'',9' 1.5'',210.4,7' 0'',2019
Kevin Porter Jr.,SG,0.05,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9'',2019
Neemias Queta,C,0.06,9.5,11,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25'',2019
Cameron Reddish,SF,0.05,9,9,6' 6.5'',6' 8'',8' 9.5'',207.8,7' 0.5'',2019
Naz Reid,PF,0.14,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25'',2019
Isaiah Roby,PF,0.04,9,10.5,6' 7.25'',6' 8.5'',8' 10'',214,7' 1'',2019
Luka Samanic,PF,0.06,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5'',2019
Admiral Schofield,SF,0.07,8.75,9,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75'',2019
Marial Shayok,SF-PF,0.05,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25'',2019
Simisola Shittu,PF,0.06,8.75,8.5,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25'',2019
Killian Tillie,,-%,-,-,,,,-,,2019
P.J. Washington,PF,0.09,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25'',2019
Tremont Waters,PG,0.07,8,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25'',2019
Quinndary Weatherspoon,SG,0.06,8.5,9,6' 3'',6' 4.25'',8' 4'',206.6,6' 9'',2019
Coby White,PG,0.04,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5'',2019
Kris Wilkes,SF,0.05,8.5,9.5,6' 6.25'',6' 7.75'',8' 7'',208.8,6' 10.75'',2019
Grant Williams,PF,0.05,9,10.5,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75'',2019
Zion Williamson,PF,-%,-,-,,,,-,,2019
Dylan Windler,SF,0.05,8.25,9.5,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10'',2019
Rawle Alkins,SG,0.09,8.5,10,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75'',2018
Grayson Allen,SG,0.06,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25'',2018
Kostas Antetokounmpo,PF,0.05,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25'',2018
Udoka Azubuike,C,0.08,9.5,10,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7'',2018
Mohamed Bamba,C,0.06,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10'',2018
Jaylen Barford,PG-SG,0.12,8,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5'',2018
Keita Bates-Diop,SG-SF,0.05,9,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25'',2018
