PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Tyus Battle,SG,0.04,8.5,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9'',2018
Brian Bowen,SG-SF,0.08,9,10,6' 6.25'',6' 7.5'',8' 7.5'',202,6' 10.25'',2018
Miles Bridges,SF,0.06,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5'',2018
Bruce Brown,SG-PG,0.04,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9'',2018
Troy Brown,SF,0.07,9,9.75,6' 5.75'',6' 6.75'',8' 9'',208,6' 10.25'',2018
Jalen Brunson,PG,0.07,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4'',2018
Tony Carr,PG,0.07,8.5,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25'',2018
Jevon Carter,PG,0.04,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25'',2018
Wendell Carter,C-PF,0.08,8.5,9,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5'',2018
Donte DiVincenzo,SG,0.05,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6'',2018
Hamidou Diallo,SG,0.04,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5'',2018
Trevon Duval,PG,0.05,8.75,10,6' 1.5'',6' 2.5'',8' 1.5'',191,6' 8.25'',2018
Carsen Edwards,PG,0.06,8.5,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25'',2018
Keenan Evans,PG,0.07,8.5,8,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25'',2018
Jacob Evans,SG-SF,0.07,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25'',2018
Bruno Fernando,C,0.05,9.5,10,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25'',2018
Melvin Frazier,SF-SG,0.08,9.5,9.5,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75'',2018
Shai Gilgeous-Alexander,PG,0.03,9,9,6' 4.5'',6' 6'',8' 8'',180,6' 11.5'',2018
Devonte Graham,PG,0.05,8.5,9.5,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25'',2018
Isaac Haas,C,0.13,10,10.5,7' 1.25'',7' 2.75'',9' 3.5'',303,7' 5'',2018
Devon Hall,SG,0.08,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75'',2018
Jaylen Hands,PG,0.05,8,8,6' 1.5'',6' 2.75'',8' 2'',179,6' 5.5'',2018
Kevin Hervey,PF,0.05,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5'',2018
Aaron Holiday,PG,0.06,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5'',2018
Kevin Huerter,SG,0.09,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5'',2018
Jaren Jackson,PF-C,0.07,10,10,6' 9.75'',6' 11.25'',9' 2'',236,7' 5.25'',2018
Justin Jackson,PF,0.09,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3'',2018
Alize Johnson,PF,0.08,8.5,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75'',2018
George King,SF-SG,0.07,9,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5'',2018
Kevin Knox,SF,0.05,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75'',2018
Sagaba Konate,C,0.07,9.25,10,6' 6.5'',6' 7.5'',8' 10.5'',246,7' 0'',2018
Caleb Martin,SF-SG,0.07,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10'',2018
Cody Martin,SG-SF,0.05,8.5,9,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25'',2018
Yante Maten,PF-C,0.08,9.25,10,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5'',2018
Brandon McCoy,C,0.09,9.75,9.5,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2'',2018
DeAnthony Melton,SG-PG,0.05,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5'',2018
Chimezie Metu,PF-C,0.05,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5'',2018
Shake Milton,SG-PG,0.07,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75'',2018
Sviatoslav Mykhailiuk,SG-SF,0.08,8.25,9.5,6' 6.5'',6' 7.75'',8' 4'',211.6,6' 4.75'',2018
Malik Newman,SG,0.06,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5'',2018
Josh Okogie,SG,0.05,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0'',2018
Theo Pinson,SG-SF,0.07,9,9,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75'',2018
Jontay Porter,C-PF,0.14,8.75,9.5,6' 10'',6' 11.5'',9' 1'',236,7' 0.25'',2018
Michael Porter,SF-PF,0.06,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211,7' 0.25'',2018
Billy Preston,PF,0.05,9.25,9.5,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2'',2018
Jerome Robinson,SG,0.06,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25'',2018
Collin Sexton,PG,0.06,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25'',2018
Landry Shamet,PG,0.05,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75'',2018
Anfernee Simons,SG-PG,0.08,8.75,9,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25'',2018
Zhaire Smith,SF-SG,0.06,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75'',2018
Ray Spalding,PF,0.06,9.25,9,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75'',2018
Omari Spellman,PF-C,0.14,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2'',2018
Khyri Thomas,SG,0.06,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5'',2018
Gary Trent,SG,0.07,8.5,9.5,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75'',2018
Allonzo Trier,SG,0.05,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75'',2018
Moritz Wagner,C-PF,0.07,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0'',2018
Lonnie Walker,SG,0.06,9,9.5,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25'',2018
PJ Washington,PF,0.07,9,10.25,6' 6.5'',6' 8'',8' 11'',223,7' 2.5'',2018
Austin Wiley,C,0.05,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5'',2018
Kris Wilkes,SF,0.05,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205,6' 10.25'',2018
Kenrich Williams,SF,0.06,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25'',2018
Trae Young,PG,0.05,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3'',2018
Edrice Adebayo,PF-C,0.05,9.5,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75'',2017
Rawle Alkins,SG-SF,0.11,8.75,10,6' 2.5'',6' 3.75'',8' 3'',222.6,6' 8.75'',2017
Jarrett Allen,C,0.07,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25'',2017
Kadeem Allen,PG,0.06,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25'',2017
Ike Anigbogu,C,0.05,9.5,10,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25'',2017
OG Anunoby,SF,0.07,9.25,9.5,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25'',2017
Jamel Artis,SG-SF,0.12,9.25,9.75,6' 5.5'',6' 6.75'',8' 9'',213.2,6' 10'',2017
Dwayne Bacon,SG-SF,0.08,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10'',2017
V.J. Beachem,SG-SF,0.07,8.5,9,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25'',2017
Jordan Bell,PF,0.05,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75'',2017
Jaron Blossomgame,SF,0.06,8.75,10.25,6' 5.75'',6' 6.75'',8' 8.5'',218.6,6' 10'',2017
Chris Boucher,PF,0.05,9.25,10.5,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4'',2017
Tony Bradley,C,0.12,9.5,9.5,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5'',2017
Isaiah Briscoe,PG,0.11,9,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9'',2017
Dillon Brooks,SG-SF,0.08,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6'',2017
Thomas Bryant,PF-C,0.09,9.5,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6'',2017
Zach Collins,PF-C,0.09,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1'',2017
John Collins,PF,0.05,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25'',2017
Hamidou Diallo,SG-SF,0.05,8.5,9.5,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25'',2017
Tyler Dorsey,SG,0.05,8.5,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25'',2017
Damyean Dotson,SG-SF,0.05,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9'',2017
PJ Dozier,SG,0.06,8.5,9.5,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11'',2017
Jawun Evans,PG,0.09,8,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5'',2017
Terrance Ferguson,SG-SF,0.06,8.5,10,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75'',2017
De?Aaron Fox,PG,0.05,8.5,8.5,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5'',2017
Markelle Fultz,PG,-%,-,-,,,,-,,2017
Harry Giles,PF,0.05,9.5,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232,7' 3.25'',2017
Josh Hart,SG-SF,0.06,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25'',2017
Nigel Hayes,PF,0.12,8.75,10,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25'',2017
Isaiah Hicks,PF,0.08,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5'',2017
Wesley Iwundu,SG-SF,0.04,8.75,9.5,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1'',2017
Frank Jackson,PG,0.07,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5'',2017
Justin Jackson (UMD),SF,0.07,9,9.5,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25'',2017
Justin Jackson (UNC),SF,0.08,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11'',2017
Peter Jok,SG-SF,0.11,8.25,9.5,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8'',2017
Luke Kennard,SG-SF,0.07,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25'',2017
Kyle Kuzma,SF-SG,0.09,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25'',2017
TJ Leaf,PF,0.07,8.5,9.5,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11'',2017
Tyler Lydon,PF,0.14,8.75,8.75,6' 8.25'',6' 9.5'',8' 11.5'',215,7' 0'',2017
Frank Mason III,PG,0.04,8,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25'',2017
Kennedy Meeks,C,0.12,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1'',2017
Donovan Mitchell,SG,0.06,8.5,9.5,6' 1.25'',6' 3'',8' 1'',211.4,6' 10'',2017
Monte Morris,PG,0.07,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4'',2017
Johnathan Motley,PF,-%,9,9.5,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4'',2017
Svi Mykhailiuk,SG-SF,0.11,8,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5'',2017
Semi Ojeleye,SF-SG,0.06,8.75,9.5,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75'',2017
Cameron Oliver,PF,0.08,9.5,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25'',2017
Justin Patton,C,0.08,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3'',2017
Alec Peters,PF,0.09,8.75,10,6' 7.25'',6' 8.75'',8' 9'',232,6' 10.75'',2017
Ivan Rabb,PF,0.07,8.75,9,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5'',2017
Davon Reed,SG-SF,0.07,9.25,9.5,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0'',2017
Devin Robinson,SF,0.03,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75'',2017
Kobi Simmons,PG,0.05,8.5,9.5,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6'',2017
Edmond Sumner,PG,0.08,8.25,9,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9'',2017
Caleb Swanigan,PF,-%,9.5,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3'',2017
Sindarius Thornwell,SG-SF,0.08,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10'',2017
Melo Trimble,PG,0.11,8,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2'',2017
Moritz Wagner,PF,0.07,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0'',2017
Derrick Walton Jr.,PG,0.06,8,8.5,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5'',2017
Thomas Welsh,PF-C,0.11,9,10.5,6' 11.5'',7' 0.5'',9' 1.5'',254,7' 0'',2017
Derrick White,PG,0.06,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5'',2017
Nigel Williams-Goss,PG,0.06,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25'',2017
D.J. Wilson,PF,0.06,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3'',2017
Omer Yurtseven,C,0.08,9,10.5,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1'',2017
Ron Baker,SG,0.08,8.75,9.5,6' 3.25'',6' 4.25'',8' 1.5'',212.4,6' 9.75'',2016
Wade Baldwin IV,PG,0.05,9,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25'',2016
Cat Barber,PG,0.05,8,8.5,6' 1.5'',6' 2.75'',7' 11.5'',173,6' 5.5'',2016
Malik Beasley,SG,0.07,8.5,9,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7'',2016
DeAndre Bembry,SG-SF,0.07,8,9.25,6' 4.25'',6' 5.75'',8' 5'',206.6,6' 9.25'',2016
Ben Bentil,PF,0.1,9.5,10,6' 7.25'',6' 8.25'',8' 9'',229.2,7' 1.5'',2016
Jaron Blossomgame,SF,0.05,8.5,10,6' 6.25'',6' 7.25'',8' 6'',213.6,6' 10'',2016
Joel Bolomboy,PF,0.05,9,10.25,6' 7.5'',6' 9'',8' 7.5'',224.4,7' 1.75'',2016
Malcolm Brogdon,SG,0.05,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5'',2016
Jaylen Brown,SG-SF,0.05,8.75,9,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75'',2016
Marquese Chriss,PF,0.09,9,9,6' 8.75'',6' 10'',8' 9'',233,7' 0.25'',2016
Elgin Cook,SF,0.06,8.5,10.25,6' 5'',6' 6.25'',8' 4.5'',209.8,6' 10'',2016
Isaiah Cousins,PG,0.05,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194,6' 6.25'',2016
Deyonta Davis,PF,0.1,9,9.25,6' 9.25'',6' 10.5'',9' 0.5'',237.2,7' 2.5'',2016
Cheick Diallo,PF,0.06,8.5,9.75,6' 7.5'',6' 9'',8' 11.5'',218.6,7' 4.5'',2016
Kris Dunn,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5'',2016
Henry Ellenson,PF,0.11,8.5,9.75,6' 10'',6' 11.5'',9' 0'',242,7' 2.25'',2016
Perry Ellis,PF,0.05,8,8.5,6' 7'',6' 8.25'',8' 6'',217.8,6' 10.25'',2016
Kay Felder,PG,0.06,8.25,8.5,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5'',2016
Dorian Finney-Smith,SF,0.06,9,9.75,6' 6.5'',6' 7.75'',8' 9.5'',212.6,6' 11.75'',2016
Michael Gbinije,SG,0.05,8,9,6' 5.5'',6' 6.75'',8' 5'',204.6,6' 7.5'',2016
Daniel Hamilton,SG-SF,0.06,9,8.5,6' 6.25'',6' 8'',8' 7.5'',197,6' 9'',2016
Josh Hart,SG,0.06,8.5,9.25,6' 4'',6' 5.5'',8' 3.5'',203.6,6' 8.5'',2016
Nigel Hayes,SF-PF,0.11,8.5,9.5,6' 6.25'',6' 7.25'',8' 11.5'',245,7' 3'',2016
Buddy Hield,SG,0.06,8.5,9,6' 3.75'',6' 5'',8' 5'',212.4,6' 9.25'',2016
Justin Jackson,SF,0.08,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75'',2016
Demetrius Jackson,PG,0.07,8.25,9,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5'',2016
Brice Johnson,PF,0.08,9,8.25,6' 9'',6' 10.5'',8' 10.5'',208.6,7' 0.5'',2016
Damian Jones,C,0.07,8.75,10.5,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75'',2016
Skal Labissiere,PF-C,0.06,8.75,9,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5'',2016
Jake Layman,SF,0.07,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25'',2016
Caris LeVert,SG,0.08,8.5,9.25,6' 5.75'',6' 7'',8' 5'',191,6' 10'',2016
Marcus Lee,PF-C,0.05,9,9,6' 9'',6' 10.25'',8' 11.5'',211,7' 3'',2016
Thon Maker,PF,0.06,8.75,9.5,6' 11.75'',7' 0.75'',9' 2.5'',216,7' 3'',2016
Patrick McCaw,PG-SG,0.05,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10'',2016
Malik Newman,SG,0.06,8.25,9.25,6' 2.25'',6' 3.5'',8' 1.5'',182.2,6' 5.75'',2016
Georges Niang,PF,0.1,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10'',2016
Chinanu Onuaku,C,0.09,9,8,6' 9'',6' 10'',9' 0.5'',245.2,7' 2.75'',2016
Marcus Paige,PG,0.04,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25'',2016
Gary Payton II,PG,0.04,8.75,9.5,6' 2'',6' 3'',8' 3.5'',183.8,6' 8'',2016
Jakob Poeltl,C,0.06,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239,7' 2.75'',2016
Taurean Prince,SF,0.06,9,8.5,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5'',2016
Zhou Qi,PF-C,0.05,9.25,9.5,7' 1.25'',7' 2.25'',9' 4.5'',218.2,7' 7.75'',2016
Malachi Richardson,SG-SF,0.07,8.75,10,6' 4.75'',6' 6.25'',8' 5.5'',199.6,7' 0'',2016
Wayne Selden,SG,0.07,9,9.25,6' 4.25'',6' 5.75'',8' 5'',232.4,6' 10.5'',2016
Pascal Siakam,PF,0.05,9.25,10,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25'',2016
Diamond Stone,C,0.13,8.5,7.75,6' 9'',6' 10.25'',9' 0.5'',254.4,7' 2.75'',2016
Caleb Swanigan,PF,0.13,9,10.25,6' 7.5'',6' 8.5'',8' 11'',246.6,7' 3.5'',2016
Melo Trimble,PG,0.08,8,8.75,6' 1.25'',6' 2.5'',7' 8.5'',191.8,6' 2'',2016
Tyler Ulis,PG,0.05,7.5,7.5,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2'',2016
Jarrod Uthoff,PF,0.06,8.75,9,6' 8.5'',6' 9.75'',8' 8'',214.4,6' 11.5'',2016
Denzel Valentine,SG-SF,0.09,8.5,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75'',2016
Isaiah Whitehead,PG-SG,0.09,8.5,8.75,6' 3.25'',6' 4.5'',8' 4'',210,6' 8.75'',2016
Troy Williams,SF,0.1,8.25,9.25,6' 5.75'',6' 6.75'',8' 6'',217.8,6' 8.25'',2016
Kyle Wiltjer,PF,0.15,8.25,9.5,6' 8.75'',6' 10'',8' 6.5'',242.8,7' 0.25'',2016
Stephen Zimmerman,C,0.11,9,9,6' 10.25'',6' 11.75'',9' 0.5'',234,7' 3.25'',2016
Cliff Alexander,PF-C,0.06,9.5,10.25,6' 7.25'',6' 8.5'',9' 1.5'',239.2,7' 3.5'',2015
Justin Anderson,SF-SG,0.05,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75'',2015
Brandon Ashley,PF,0.09,9,9.5,6' 7.25'',6' 8.5'',8' 9'',228,7' 3.75'',2015
Ryan Boatright,PG,0.07,7.5,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5'',2015
Devin Booker,SG,0.08,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25'',2015
Anthony Brown,SF-SG,0.06,8.5,9,6' 5.75'',6' 7.25'',8' 8.5'',211,6' 11'',2015
Willie Cauley-Stein,C,0.06,9.5,9,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3'',2015
Rakeem Christmas,PF-C,0.1,9.25,9,6' 8.25'',6' 9.75'',9' 2.5'',242.6,7' 5.25'',2015
Pat Connaughton,SG,0.1,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215,6' 8'',2015
Quinn Cook,PG,0.07,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179,6' 4'',2015
Branden Dawson,PF,0.06,9,8.75,6' 5.5'',6' 6.75'',8' 9'',230.2,6' 11'',2015
Sam Dekker,SF,0.08,8.5,9.25,6' 7.75'',6' 9'',8' 10'',218.6,6' 11.5'',2015
Michael Frazier II,SG,0.07,8.25,9.25,6' 3.75'',6' 4.25'',8' 5.5'',199.4,6' 8'',2015
