Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES_IN_CM,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
552,Robbie Hummel,4.4,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4,2011,11.56,,3.41,27.5,30,13,0.09,8.5,9.5,198.42,201.59,255.24,218,201.59,11.56,,3.41,27.5,30,13
553,Jeff Withey,5.7,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.5,1.3,2012,12.49,3.29,3.47,26.5,29,10,0.09,9,9.75,207.31,211.27,276.35,221.8,215.08,12.49,3.29,3.47,26.5,29,10
554,Steven Adams,6.4,0.587,0.077,0.548,26.8,9.3,7.9,1.4,54.2,0.15,0.4,10.8,2012,11.85,3.02,3.4,28.5,33,16,0.07,9.5,11,207.31,210,273.81,254.5,221.43,11.85,3.02,3.4,28.5,33,16
555,Dewayne Dedmon,5.9,0.5,0,0.681,22.3,6.7,7,0.6,,,,,2013,12.75,3.26,3.4,28,32.5,8,0.08,9,11,205.4,209.21,272.54,238.8,220.16,12.75,3.26,3.4,28,32.5,8
556,Phil Pressey,4.7,0.376,0.324,0.735,33.9,11.9,3.3,7.1,,,,,2013,10.86,3.02,3.13,33,38.5,7,0.05,7.75,9.75,174.13,179.21,230.32,177,185.715,10.86,3.02,3.13,33,38.5,7
557,Brandon Davies,3.6,0.522,0.357,0.682,29.3,17.7,8,2.4,,,,,2013,11.22,3.14,3.5,26,31.5,7,0.09,9,11,201.59,206.04,271.27,241.8,213.81,11.22,3.14,3.5,26,31.5,7
559,Reggie Bullock,2.3,0.429,0.387,0.845,22.1,7.7,2.5,1.2,17.4,0.09,-0.7,3,2012,11.33,3.3,3.31,31,36.5,11,0.07,8.5,9,194.61,197.78,255.24,199.8,202.225,11.33,3.3,3.31,31,36.5,11
562,Rudy Gobert,4.7,0.651,0,0.636,29.9,12.3,11.6,1.3,83.5,0.226,4,27,2012,12.85,3.19,3.57,25,29,7,0.04,9.75,10,211.27,215.08,287.78,237.6,231.59,12.85,3.19,3.57,25,29,7
563,Dionte Christmas,2.3,0.414,0.352,0.753,,19.5,5.8,2.9,,,,,2009,10.83,,3.21,27,33.5,3,0.07,-,-,190.8,193.97,256.51,210.8,202.86,10.83,,3.21,27,33.5,3
564,Peyton Siva,2.1,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2,2012,10.59,2.93,3.16,33.5,41.5,15,0.06,8,9.75,179.21,182.54,232.86,180.6,187.62,10.59,2.93,3.16,33.5,41.5,15
567,Andre Roberson,3.9,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,-0.6,2.3,2012,11.36,3.02,3.34,30,36.5,10,0.07,8.75,9.5,195.88,197.78,261.59,205.8,207.94,11.36,3.02,3.34,30,36.5,10
568,Solomon Hill,2.5,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,-2.1,-0.3,2012,10.77,2.91,3.19,29.5,37.5,14,0.08,9,10.5,193.97,197.78,257.78,226,202.86,10.77,2.91,3.19,29.5,37.5,14
570,Damian Lillard,17.3,0.437,0.373,0.893,36.3,24.6,4.2,6.6,94.4,0.175,4.7,43.8,2011,11.15,,3.34,34.5,39.5,13,0.06,8.75,9.75,184.45,186.99,239.21,188.8,199.685,11.15,,3.34,34.5,39.5,13
572,Bradley Beal,12.1,0.456,0.372,0.821,34.8,22.1,4.1,4.2,49.2,0.105,1.7,21,2011,10.95,,3.28,33,39,8,0.06,8.5,9,188.26,192.07,250.16,201.8,200.32,10.95,,3.28,33,39,8
574,Harrison Barnes,9.2,0.453,0.381,0.805,31.8,14.2,5.1,1.8,44.3,0.092,-0.8,7.2,2011,10.93,,3.16,38,39.5,15,0.1,9,8.5,197.78,200.32,253.97,227.8,208.575,10.93,,3.16,38,39.5,15
575,Michael Kidd-Gilchrist,11.8,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6,2011,11.77,,3.18,32,35.5,6,0.07,9,10.25,194.61,199.05,261.59,232.8,210,11.77,,3.18,32,35.5,6
577,Kyle Singler,8.9,0.43,0.321,0.806,34.8,16.9,6.8,1.6,,,,,2011,11.22,,3.21,23,30,10,0.1,8.25,8.75,199.05,201.59,265.4,228,205.654,11.22,,3.21,23,30,10
580,Maurice Harkless,9.6,0.474,0.32,0.624,22.7,6.9,3.6,0.9,23,0.079,-0.8,4.1,2011,10.87,,3.25,32.5,37,5,0.05,9.25,10.25,198.42,202.23,256.51,206.6,210,10.87,,3.25,32.5,37,5
581,Andre Drummond,13.8,0.538,0.132,0.471,29.8,13.9,13.3,1.4,66,0.152,1.3,17.4,2011,10.83,,3.39,31.5,33.5,10,0.08,9.5,9.5,204.77,209.85,273.81,278.6,225.875,10.83,,3.39,31.5,33.5,10
582,Tyler Zeller,10.4,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,-2,0,2011,11.13,,3.4,30,34,16,0.06,9,9.75,208.58,211.27,261.59,247.4,210,11.13,,3.4,30,34,16
583,Andrew Nicholson,8.2,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-3.6,-1.6,2011,11.89,,3.67,28.5,30.5,10,0.08,10,10.75,201.59,204.13,267.94,234,220.16,11.89,,3.67,28.5,30.5,10
584,Brian Roberts,6.9,0.476,0.455,0.86,15.4,18.4,2.8,3.4,,,,,,10.65,,3.05,31.5,36.5,10,0.04,-,-,180.64,183.18,237.94,173,183.175,10.65,,3.05,31.5,36.5,10
585,Terrence Ross,5.3,0.418,0.363,0.839,24.9,11.3,2.9,1.3,23.5,0.068,-0.9,4.7,2011,11.78,,3.28,31,37.5,2,0.03,8.75,10.25,195.24,197.78,251.43,196.6,198.415,11.78,,3.28,31,37.5,2
586,Austin Rivers,4.6,0.418,0.35,0.646,24.2,8.9,2.1,2.2,13.6,0.043,-3,-3.9,2011,11.54,,3.32,32.5,37.5,1,0.06,8.5,10,188.89,192.7,241.27,202.8,198.415,11.54,,3.32,32.5,37.5,1
587,John Jenkins,5.4,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,-1.9,0.1,2011,11.36,,3.37,30.5,36.5,10,0.07,9,9,188.26,190.8,245.08,212,201.59,11.36,,3.37,30.5,36.5,10
589,John Henson,7.9,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.5,3.4,2011,-,,-,25.5,30,5,0.09,9.25,10,202.86,206.67,280.16,216,222.7,-,,-,25.5,30,5
590,Jared Sullinger,10.1,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7,2011,12.77,,3.81,29.5,31,9,0.11,9.25,9.75,199.69,202.86,264.13,268.2,213.175,12.77,,3.81,29.5,31,9
593,Meyers Leonard,7.6,0.482,0.39,0.809,16,5.6,3.9,0.9,15.5,0.104,-1.4,1.1,2011,11.34,,3.41,30,32.5,19,0.06,9.25,11,209.85,213.18,270,249.8,217.62,11.34,,3.41,30,32.5,19
595,Jae Crowder,5.8,0.418,0.346,0.778,25.2,9.6,4.3,1.6,39.5,0.105,0.3,10.6,2011,11.45,,3.37,31,34.5,20,0.09,9.5,10.5,192.07,196.51,248.89,241.2,203.495,11.45,,3.37,31,34.5,20
596,Thomas Robinson,6.3,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,2011,11.96,,3.17,28.5,35.5,15,0.05,9.75,10.5,199.69,202.23,265.4,244.2,218.255,11.96,,3.17,28.5,35.5,15
597,Mike Scott,5,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.7,0.6,2011,11.59,,3.44,27,32.5,14,0.11,8.5,9,198.42,202.23,260.32,240.8,207.305,11.59,,3.44,27,32.5,14
599,Will Barton,3.8,0.434,0.352,0.787,25.7,11.6,4.3,2.7,25.7,0.079,-0.2,7.2,2011,12.5,,3.6,30,34,0,0.04,9,9.5,192.7,195.24,256.51,174.4,204.765,12.5,,3.6,30,34,0
600,Orlando Johnson,4.6,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1,2011,10.98,,3.25,32,39.5,13,0.07,9,9.5,189.53,193.34,247.62,223.8,208.575,10.98,,3.25,32,39.5,13
603,Arnett Moultrie,5.8,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-2.8,-0.1,2011,11.32,,3.22,33.5,37.5,10,0.08,9.25,9.25,204.13,207.31,266.67,232.8,215.715,11.32,,3.22,33.5,37.5,10
607,Doron Lamb,2.2,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.8,-1.2,2011,11.12,,3.41,29,33.5,2,0.07,8.5,8.75,188.26,192.07,246.35,199.4,197.145,11.12,,3.41,29,33.5,2
608,Jeremy Lamb,2.1,0.439,0.343,0.857,20.8,10.2,3.6,1.6,26.7,0.109,0.7,7.9,2011,10.98,,3.25,31.5,38,5,0.05,8.75,9.25,190.16,193.34,255.24,179.2,207.94,10.98,,3.25,31.5,38,5
611,Draymond Green,4.7,0.44,0.315,0.71,28.5,8.7,6.9,5.4,52,0.13,2.7,22.8,2011,11.01,,3.4,28,33,9,0.11,9,9.5,194.61,199.05,262.86,235.6,213.175,11.01,,3.4,28,33,9
612,Bernard James,5.1,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0,2011,11.84,,3.4,30,32.5,6,0.05,9,9.25,202.23,205.4,271.27,229.8,217.62,11.84,,3.4,30,32.5,6
615,Tony Wroten,2.4,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-3.4,-1.1,2011,10.75,,3.24,30,35.5,0,0.05,8,9,192.07,195.24,252.7,203.2,202.86,10.75,,3.24,30,35.5,0
616,Festus Ezeli,5.5,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-2,0,2011,12.35,,3.29,34,33.5,18,0.06,9,10.75,204.77,209.21,270,264.2,224.605,12.35,,3.29,34,33.5,18
618,Darius Miller,3.5,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,-2.3,-0.4,2011,11.34,,3.31,33,37,14,0.08,8.5,8.75,195.24,199.05,252.7,233.4,202.86,11.34,,3.31,33,37,14
619,Tyshawn Taylor,1.2,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8,2011,11.48,,3.2,32,36.5,0,0.04,8.75,8.75,186.99,190.16,243.81,177,195.875,11.48,,3.2,32,36.5,0
620,Marquis Teague,2.3,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-6.5,-1,2011,10.65,,3.19,32.5,40.5,8,0.06,8.25,7.75,182.54,185.08,241.27,179.8,198.415,10.65,,3.19,32.5,40.5,8
624,Brandon Knight,10.8,0.411,0.353,0.807,29.4,14,3.1,4,11.7,0.043,-1.6,1.5,2011,10.74,,3.07,29,37.5,10,0.04,8.25,9.5,183.81,188.26,246.35,176.8,197.145,10.74,,3.07,29,37.5,10
626,Klay Thompson,10.2,0.458,0.417,0.849,32.9,19.5,3.5,2.3,48.3,0.11,0.8,14.8,2011,10.99,,3.24,26.5,31.5,5,0.08,8.75,9.25,194.61,198.42,259.05,205.6,202.86,10.99,,3.24,26.5,31.5,5
627,Kemba Walker,11.4,0.418,0.36,0.84,33.3,19.5,3.8,5.3,59.5,0.116,2.8,29.8,2011,10.87,,3.16,32,39.5,7,0.06,8,9,179.21,182.54,229.05,184,188.89,10.87,,3.16,32,39.5,7
628,Isaiah Thomas,12.2,0.435,0.362,0.872,28.5,17.8,2.4,4.8,45.3,0.14,2.1,16.2,2011,10.49,,3.14,31.5,40,13,0.07,8.25,9,172.23,176.04,229.05,186,184.445,10.49,,3.14,31.5,40,13
630,Kenneth Faried,15.3,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,0.5,7.5,2011,11.35,,3.26,30.5,35,16,0.06,8.5,10.25,195.24,199.05,270,224.6,210,11.35,,3.26,30.5,35,16
631,Iman Shumpert,9.6,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9,2011,11.1,,3.18,36.5,42,18,0.07,9,9,190.8,193.97,248.89,221.8,204.13,11.1,,3.18,36.5,42,18
632,Chandler Parsons,11.4,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2,2011,11.05,,3.29,25.5,31.5,4,0.07,8.25,10,202.23,204.77,261.59,221.2,204.13,11.05,,3.29,25.5,31.5,4
633,Derrick Williams,8.5,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-1.6,0.8,2011,11.03,,3.23,29,34.5,19,0.11,9,9.75,198.42,202.23,270,248.4,213.81,11.03,,3.23,29,34.5,19
634,Tristan Thompson,9.7,0.518,0.263,0.606,26.9,9.1,8.4,1,47.3,0.117,-1.7,1.4,2011,10.92,,3.26,30,35,9,0.06,8.75,9.25,199.05,202.23,271.27,227.4,213.175,10.92,,3.26,30,35,9
635,Kawhi Leonard,11.6,0.493,0.384,0.858,31.3,19.2,6.4,2.9,83.3,0.222,6.9,40.4,2011,11.45,,3.15,25.5,32,3,0.05,9.75,11.25,195.24,197.78,265.4,227.4,217.62,11.45,,3.15,25.5,32,3
637,Markieff Morris,8.4,0.446,0.341,0.777,24.8,10.9,5.2,1.6,27,0.073,-1.4,2.7,2011,-,,3.4,27,31.5,11,0.1,8.5,8.25,199.69,203.5,266.67,240.8,207.305,-,,3.4,27,31.5,11
638,Alec Burks,5.9,0.418,0.378,0.8,22.9,10.6,3.5,2,25.6,0.087,-0.5,5.2,2011,10.96,,3.17,29,36,5,0.05,9,8.25,192.7,195.24,259.05,192.6,205.4,10.96,,3.17,29,36,5
639,Norris Cole,4.8,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4.1,-4.1,2011,10.07,,3.22,29.5,38.5,11,0.05,8.5,9.5,180.64,184.45,239.21,174.4,185.715,10.07,,3.22,29.5,38.5,11
642,Charles Jenkins,6.8,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8,2011,11.68,,3.18,29.5,34,16,0.04,8.5,9,183.81,188.26,241.27,216.4,199.05,11.68,,3.18,29.5,34,16
643,Nikola Vucevic,7.9,0.494,0.349,0.756,30.9,17,10.5,2.7,59.1,0.125,2.2,24.3,2011,12.02,,3.27,23.5,25,8,0.06,9.25,10.25,206.04,209.85,281.43,259.8,221.43,12.02,,3.27,23.5,25,8
646,Tobias Harris,5.2,0.476,0.366,0.828,31.3,16.4,6.2,2.3,57.9,0.119,1.1,18.2,2011,10.96,,3.17,31.5,37.5,12,0.08,8.75,9,196.51,199.69,259.05,222.8,207.94,10.96,,3.17,31.5,37.5,12
647,Jeremy Tyler,5.2,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-7,-1.3,2011,11.26,,3.29,28,33.5,10,0.13,9.25,9,202.86,206.67,276.35,262.4,222.7,11.26,,3.29,28,33.5,10
648,Jon Leuer,6,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2,2011,10.82,,3.36,29.5,36.5,14,0.05,8.75,9.75,205.4,209.21,264.13,223.2,210,10.82,,3.36,29.5,36.5,14
650,Chris Singleton,6.7,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8,2011,11.33,,3.09,30.5,37.5,15,0.07,9.25,10,199.69,202.86,259.05,230.2,212.54,11.33,,3.09,30.5,37.5,15
652,Jordan Williams,6.5,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0,2011,12.74,,3.45,25,30.5,10,0.12,9.25,10,199.69,202.86,266.67,247.2,210.635,12.74,,3.45,25,30.5,10
653,Jordan Hamilton,4.7,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-0.1,1,2011,11.47,,3.3,25,32,7,0.1,9,9.25,197.15,201.59,260.32,228.4,204.13,11.47,,3.3,25,32,7
655,Andrew Goudelock,2.6,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-5,-0.3,2011,10.33,,3.1,32.5,37,4,0.1,8.25,9.25,183.18,186.99,241.27,197.6,190.795,10.33,,3.1,32.5,37,4
659,Nolan Smith,3.3,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6,-0.8,2011,11.05,,3.17,28.5,34,9,0.06,8.5,9.25,183.81,188.89,247.62,187.6,193.97,11.05,,3.17,28.5,34,9
660,Shelvin Mack,4.5,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-1.9,0.1,2011,11.23,,3.18,32,39,17,0.07,8.25,9.25,182.54,186.35,241.27,209,199.05,11.23,,3.18,32,39,17
661,Malcolm Lee,3.9,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1,2011,11.2,,3.09,30,35.5,17,0.06,8.5,9.5,190.16,193.97,253.97,198.2,204.765,11.2,,3.09,30,35.5,17
662,JaJuan Johnson,3.1,0.446,0,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1,2011,11.21,,3.14,33.5,38,15,0.08,9,10,202.86,205.4,269.21,219.8,215.08,11.21,,3.14,33.5,38,15
666,Jeremy Pargo,1.7,0.479,0.359,0.7,23.6,10.2,3.4,4.9,,,,,2009,10.65,,3.07,32,37,7,0.08,,,181.27,183.81,240,208,192.7,10.65,,3.07,32,37,7
667,Jimmy Butler,2.9,0.459,0.321,0.841,33.1,17.7,5.3,4.1,93,0.197,4.7,38.2,2011,11.12,,3.15,32,39,14,0.05,9,9,195.24,199.69,253.97,222.2,199.05,11.12,,3.15,32,39,14
669,Cory Joseph,2.1,0.444,0.344,0.786,22.2,7.1,2.6,3,28.8,0.086,-1.1,3.9,2011,10.75,,3.27,27.5,35,5,0.1,8.5,10.5,185.08,188.26,247.62,186.2,193.97,10.75,,3.27,27.5,35,5
670,Blake Griffin,25.6,0.493,0.326,0.696,33.1,19.9,8.3,4.2,79.1,0.16,3.4,32.4,2009,10.95,,3.28,32,35.5,22,0.08,,,201.59,205.4,262.86,248.4,208.575,10.95,,3.28,32,35.5,22
673,Jordan Crawford,8.4,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3,2010,11.03,,3.37,31.5,34.5,7,0.05,8,9,187.62,191.43,252.7,198.4,197.78,11.03,,3.37,31.5,34.5,7
676,Greg Monroe,14.7,0.514,0.059,0.703,27.5,13.1,8.2,2.1,50.1,0.137,1.4,15.2,2010,12.1,,3.35,25,29,15,0.11,8.75,9.5,204.77,207.94,271.27,246.6,215.715,12.1,,3.35,25,29,15
677,Wesley Johnson,8.5,0.404,0.337,0.741,22.1,7,3.2,1.1,10.7,0.038,-1.6,1.2,2010,11.43,,3.14,32,37,16,0.05,9,9.5,195.88,198.42,265.4,206.4,212.54,11.43,,3.14,32,37,16
678,Paul George,8.9,0.436,0.381,0.849,33.6,20.4,6.4,3.6,76.1,0.149,4.1,37.6,2010,-,,,,,4,0.05,8.5,9,199.69,202.23,267.94,214.4,208.575,-,,-,-,-,4
681,Evan Turner,8.8,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5,2010,11.06,,3.27,27.5,34.5,9,0.09,8.75,9.5,194.61,197.78,259.05,213.8,200.32,11.06,,3.27,27.5,34.5,9
683,Derrick Favors,9.4,0.534,0.198,0.663,24.3,10.6,7.1,1.1,60.4,0.151,0.9,14,2010,11.74,,3.25,31.5,35.5,14,0.07,8.75,9.25,202.23,206.04,275.08,245.2,220.16,11.74,,3.25,31.5,35.5,14
684,Eric Bledsoe,8.2,0.452,0.336,0.784,27.8,13.7,3.9,4.7,46.3,0.106,1.6,18.9,2010,-,,-,,-,9,0.06,8.5,9.75,180.64,183.81,245.08,191.6,199.05,-,,-,-,-,9
685,Patrick Patterson,8.9,0.447,0.369,0.755,20.8,6.7,3.9,1,31.9,0.102,0,7.4,2010,11.14,,3.25,28.5,33.5,17,0.05,9.25,10.25,200.32,203.5,267.94,239.6,213.175,11.14,,3.25,28.5,33.5,17
686,Manny Harris,5.9,0.421,0.308,0.8,36.1,18.1,6,4.1,,,,,2010,-,,-,,-,11,0.04,8.5,9,190.16,193.97,255.24,185.1,198.415,-,,-,-,-,11
687,Al-Farouq Aminu,6.1,0.42,0.332,0.746,24.9,7.5,6,1.2,27.6,0.075,-0.6,6.5,2010,11.29,,3.3,27,33.5,13,0.08,9.5,9.5,198.42,201.59,271.27,216,218.255,11.29,,3.3,27,33.5,13
689,Gordon Hayward,5.7,0.453,0.371,0.826,31.1,15.6,4.5,3.5,60.2,0.127,2,22.8,2010,11.73,,3.22,30.5,34.5,10,0.07,8.5,9.25,197.15,200.32,257.78,211,199.685,11.73,,3.22,30.5,34.5,10
690,Trevor Booker,8,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2,2010,11.15,,3.1,31,36,22,0.07,9,9.5,195.88,199.05,265.4,235.8,204.765,11.15,,3.1,31,36,22
691,Gary Forbes,4.7,0.407,0.292,0.72,23.9,19.4,7.5,3,,,,,2007,11.45,,3.25,27.5,33.5,13,0.07,,,191.43,194.61,261.59,220.5,208.575,11.45,,3.25,27.5,33.5,13
693,Xavier Henry,2.8,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7,2010,11.1,,3.18,28.5,36.5,8,0.05,8.75,10,193.34,196.51,262.86,210.2,208.575,11.1,,3.18,28.5,36.5,8
694,Larry Sanders,5.6,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1,2010,12.49,,3.27,25.5,28,7,0.05,9.75,11,203.5,206.67,280.16,222.4,224.605,12.49,,3.27,25.5,28,7
696,Ekpe Udoh,6.4,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,-1.4,0.8,2010,11.15,,3.29,31,33.5,10,0.08,9.5,8.75,202.23,204.77,266.67,237.4,221.43,11.15,,3.29,31,33.5,10
698,Luke Harangody,5.1,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3,2010,11.83,,3.41,24,28.5,23,0.11,8.75,9.75,195.24,199.69,265.4,240.2,204.13,11.83,,3.41,24,28.5,23
699,Lazar Hayward,3.6,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3,2010,10.87,,3.31,31,36,15,0.08,9.25,9.5,191.43,194.61,255.24,225.8,211.905,10.87,,3.31,31,36,15
704,Armon Johnson,2.5,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-4.1,-0.2,2010,11.25,,3.19,31.5,38.5,18,0.06,8.25,9.25,185.08,188.26,248.89,195.2,200.32,11.25,,3.19,31.5,38.5,18
709,Mustafa Shakur,2,0.455,0.325,0.788,,11.9,4,6.9,,,,,2007,11.82,,3.27,28.5,35,11,0.04,,,187.62,191.43,247.62,185,193.97,11.82,,3.27,28.5,35,11
710,Derrick Caracter,2.1,0.485,0,0.739,5.2,2,1,0.2,0.3,0.057,-7.1,-0.3,2010,12.78,,3.61,25,30.5,22,0.13,9,10.25,200.96,204.13,269.21,280,210.635,12.78,,3.61,25,30.5,22
711,Cole Aldrich,2.9,0.527,0,0.738,10,3.1,3.3,0.5,9.6,0.135,0.1,1.8,2010,11.48,,3.35,23,28,10,0.09,9,9.25,202.86,208.58,278.89,236,222.065,11.48,,3.35,23,28,10
712,Tyreke Evans,19.6,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.8,13.1,2009,11.81,,3.17,28.5,34,7,0.07,,,190.16,193.34,260.32,220.6,208.575,11.81,,3.17,28.5,34,7
