#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
3,Bradley Beal,56,31.2,13.9,5,12.3,41,1.6,4.2,38.6,2.2,2.8,78.6,0.8,3,3.8,2.4,0.9,0.5,1.6,12.1,2012
4,Anthony Davis,64,28.8,13.5,5.5,10.6,51.6,0,0.1,0,2.6,3.5,75.1,2.6,5.6,8.2,1,1.2,1.8,1.4,18.2,2012
5,Harrison Barnes,81,25.4,9.2,3.4,7.8,43.9,0.6,1.8,35.9,1.8,2.3,75.8,0.7,3.5,4.1,1.2,0.6,0.2,1.2,9.2,2012
6,Michael Kidd-Gilchrist,78,26,9,3.6,7.9,45.8,0,0.1,22.2,1.8,2.4,74.9,1.7,4.2,5.8,1.5,0.7,0.9,1.3,11.8,2012
7,Jonas Valanciunas,62,23.9,8.9,3.3,5.9,55.7,0,0,0,2.4,3,78.9,2,4,6,0.7,0.3,1.3,1.5,12.4,2012
8,Kyle Singler,82,28,8.8,3.4,7.8,42.8,0.9,2.4,35,1.2,1.5,80.6,1.3,2.7,4,0.9,0.7,0.5,1.2,8.9,2012
9,Chris Copeland,56,15.4,8.7,3.3,6.8,47.9,1.1,2.5,42.1,1.1,1.5,75.9,0.6,1.5,2.1,0.5,0.3,0.2,0.9,7,2012
10,Alexey Shved,77,23.9,8.6,3.1,8.2,37.2,1.1,3.7,29.5,1.4,1.9,72,0.5,1.7,2.3,3.7,0.7,0.4,1.9,8,2012
11,Maurice Harkless,76,26,8.2,3.4,7.4,46.1,0.4,1.5,27.4,1,1.7,57,1.6,2.8,4.4,0.7,1.2,0.8,0.9,9.6,2012
12,Andre Drummond,60,20.7,7.9,3.5,5.7,60.8,0,0,50,1,2.7,37.1,2.8,4.8,7.6,0.5,1,1.6,1,13.8,2012
13,Tyler Zeller,77,26.4,7.9,3.2,7.3,43.8,0,0.1,0,1.6,2,76.4,2.1,3.6,5.7,1.2,0.5,0.9,1.2,10.4,2012
14,Andrew Nicholson,75,16.7,7.8,3.4,6.5,52.7,0,0,0,1,1.3,79.8,0.9,2.5,3.4,0.6,0.3,0.4,1.1,8.2,2012
15,Brian Roberts,78,17,7.1,2.7,6.6,41.7,0.8,2,38.6,0.9,1,90.9,0.2,1,1.2,2.8,0.5,0,0.9,6.9,2012
16,Terrence Ross,73,17,6.4,2.5,6.3,40.7,0.9,2.7,33.2,0.4,0.6,71.4,0.5,1.5,2,0.7,0.6,0.2,0.7,5.3,2012
17,Austin Rivers,61,23.2,6.2,2.4,6.4,37.2,0.5,1.4,32.6,1,1.8,54.6,0.3,1.5,1.8,2.1,0.4,0.1,1.2,4.6,2012
18,John Jenkins,61,14.8,6.1,2.1,4.8,44.6,0.9,2.3,38.4,1,1.1,84.3,0.3,1.3,1.5,0.9,0.2,0.2,0.7,5.4,2012
19,Jeffery Taylor,77,19.6,6.1,2.2,5.2,43.1,0.7,2,34.4,1,1.3,72.8,0.7,1.3,1.9,0.8,0.6,0.2,0.6,5.8,2012
20,John Henson,63,13.1,6,2.6,5.3,48.2,0,0,0,0.9,1.7,53.3,1.8,2.9,4.7,0.5,0.3,0.7,0.7,7.9,2012
21,Jared Sullinger,45,19.8,6,2.5,5,49.3,0,0.1,20,1,1.4,74.6,2,3.8,5.9,0.8,0.5,0.5,0.6,10.1,2012
22,Donatas Motiejunas,44,12.2,5.7,2.2,4.8,45.5,0.5,1.9,28.9,0.7,1.2,62.7,0.8,1.3,2.1,0.7,0.2,0.2,0.8,5,2012
23,Patrick Beverley,41,17.4,5.6,1.9,4.6,41.8,0.9,2.3,37.5,0.8,1,82.9,1.1,1.6,2.7,2.9,0.9,0.5,1.1,8.6,2012
24,Meyers Leonard,69,17.5,5.5,2.2,4,54.5,0,0.1,42.9,1,1.3,80.9,1.2,2.5,3.7,0.5,0.2,0.6,0.7,7.6,2012
25,Evan Fournier,38,11.3,5.3,2,4,49.3,0.6,1.4,40.7,0.8,1,76.9,0.2,0.8,0.9,1.2,0.5,0,0.8,4.8,2012
26,Jae Crowder,78,17.3,5,1.8,4.7,38.4,0.8,2.5,32.8,0.6,0.9,64.4,0.4,1.9,2.4,1.2,0.8,0.2,0.6,5.8,2012
27,Thomas Robinson,70,15.1,4.8,2,4.6,43,0,0,0,0.8,1.6,52.3,1.7,2.8,4.5,0.7,0.6,0.4,1.3,6.3,2012
28,Mike Scott,40,9.4,4.6,1.8,3.7,47.6,0,0,0,1.1,1.4,76.8,1,1.8,2.8,0.3,0.1,0.1,0.5,5,2012
29,Kyle O'Quinn,57,11.2,4.1,1.8,3.5,51.3,0,0,0,0.5,0.8,66.7,1.1,2.5,3.7,0.9,0.2,0.5,0.6,6.7,2012
30,Will Barton,73,12.2,4,1.6,4.2,38.2,0.1,0.9,13.8,0.7,0.9,76.9,0.5,1.5,2,0.8,0.5,0.1,0.8,3.8,2012
31,Orlando Johnson,51,12.1,4,1.4,3.5,40,0.7,1.8,38.3,0.5,0.6,71.9,0.4,1.8,2.2,0.9,0.2,0.2,0.6,4.6,2012
32,Nando De Colo,72,12.8,3.8,1.5,3.3,43.6,0.4,1.1,37.8,0.5,0.6,79.5,0.3,1.6,1.9,1.9,0.6,0.1,1.1,5.2,2012
33,Victor Claver,49,16.6,3.8,1.5,3.9,39.2,0.5,1.8,28.7,0.3,0.6,46.7,0.6,1.8,2.4,0.9,0.5,0.2,0.9,4.3,2012
34,Arnett Moultrie,47,11.5,3.7,1.7,2.9,58.2,0,0,0,0.4,0.6,64.3,1.6,1.5,3.1,0.2,0.4,0.2,0.4,5.8,2012
35,DeQuan Jones,63,12.7,3.7,1.5,3.5,43.6,0.1,0.6,25.7,0.5,0.8,66.7,0.3,1.4,1.7,0.3,0.3,0.3,0.5,3.6,2012
36,Mirza Teletovic,53,9.4,3.5,1.3,3.5,38.4,0.7,2,34.3,0.2,0.2,81.8,0.6,1.2,1.8,0.4,0.2,0.2,0.4,3.6,2012
37,Pablo Prigioni,78,16.2,3.5,1.3,2.8,45.5,0.7,1.7,39.6,0.3,0.3,88,0.5,1.3,1.8,3,0.9,0,1.1,6.6,2012
38,Doron Lamb,47,12.3,3.3,1.3,3.5,36.8,0.3,0.8,37.8,0.4,0.7,58.8,0.2,0.8,1,0.7,0.3,0,0.6,2.2,2012
39,Jeremy Lamb,23,6.4,3.1,1,3,35.3,0.4,1.3,30,0.6,0.6,100,0.2,0.6,0.8,0.2,0.1,0.1,0.3,2.1,2012
40,Kendall Marshall,48,14.6,3,1.2,3.1,37.1,0.5,1.5,31.5,0.2,0.3,57.1,0.1,0.8,0.9,3,0.5,0.1,1.2,4.1,2012
41,Kim English,41,9.9,2.9,1,2.7,37.5,0.3,1.2,28,0.5,0.7,72.4,0.2,0.7,0.9,0.6,0.4,0.1,0.5,2.5,2012
42,Draymond Green,79,13.4,2.9,1.1,3.3,32.7,0.2,0.8,20.9,0.6,0.7,81.8,0.7,2.6,3.3,0.7,0.5,0.3,0.6,4.7,2012
43,Bernard James,46,9.9,2.8,1.2,2.2,51.5,0,0,0,0.5,0.9,61,1.1,1.7,2.8,0.1,0.3,0.8,0.4,5.1,2012
44,Maalik Wayns,27,7.5,2.8,1,3.3,29.5,0.3,1.1,22.6,0.6,0.7,89.5,0,0.2,0.3,1,0.2,0,0.6,1.4,2012
45,Joel Freeland,51,9.4,2.6,1.1,2.8,40.8,0,0,0,0.4,0.5,66.7,0.8,1.5,2.3,0.3,0.3,0.2,0.4,3.5,2012
46,Tony Wroten,35,7.8,2.6,0.9,2.5,38.4,0.1,0.5,25,0.6,0.8,72.4,0.4,0.4,0.8,1.2,0.2,0.1,0.8,2.4,2012
47,Festus Ezeli,78,14.4,2.4,0.9,2.2,43.8,0,0,0,0.6,1,53.1,1.8,2.2,4,0.3,0.3,0.9,0.8,5.5,2012
48,Perry Jones III,38,7.4,2.3,1,2.6,39.4,0,0.1,0,0.3,0.4,66.7,0.3,1.3,1.6,0.3,0.1,0.2,0.4,2.4,2012
49,Darius Miller,52,13.3,2.3,0.8,2.1,40.7,0.4,1.1,39.3,0.2,0.2,100,0.2,1.3,1.5,0.8,0.3,0.2,0.4,3.5,2012
50,Tyshawn Taylor,38,5.8,2.2,0.8,2.3,36.8,0.2,0.3,46.2,0.4,0.7,55.6,0.1,0.4,0.5,0.6,0.3,0,0.7,1.2,2012
51,Marquis Teague,48,8.2,2.1,0.9,2.4,38.1,0.1,0.5,17.4,0.2,0.3,56.3,0.1,0.9,0.9,1.3,0.2,0.1,0.7,2.3,2012
52,Kent Bazemore,61,4.4,2,0.7,1.9,37.1,0.2,0.6,29.4,0.4,0.7,61.4,0.1,0.3,0.4,0.4,0.3,0.1,0.3,1.3,2012
53,Tornike Shengelia,19,4.9,1.6,0.5,1.2,43.5,0.1,0.1,50,0.5,0.8,56.3,0.5,0.7,1.2,0.2,0.2,0.1,0.6,1.5,2012
1,Kyrie Irving,51,30.5,18.5,6.9,14.6,46.9,1.4,3.6,39.9,3.4,3.8,87.2,0.9,2.9,3.7,5.4,1.1,0.4,3.1,17.7,2011
2,Brandon Knight,66,32.3,12.8,4.8,11.7,41.5,1.6,4.2,38,1.6,2.1,75.9,0.5,2.7,3.2,3.8,0.7,0.2,2.6,10.8,2011
3,MarShon Brooks,56,29.4,12.6,4.9,11.4,42.8,0.8,2.7,31.3,2,2.6,76.4,1.3,2.3,3.6,2.3,0.9,0.3,2.1,10.5,2011
4,Klay Thompson,66,24.4,12.5,4.8,10.9,44.3,1.7,4.1,41.4,1.2,1.4,86.8,0.4,2.1,2.4,2,0.7,0.3,1.6,10.2,2011
5,Kemba Walker,66,27.2,12.1,4.3,11.6,36.6,1,3.4,30.5,2.5,3.2,78.9,0.5,3.1,3.5,4.4,0.9,0.3,1.8,11.4,2011
6,Isaiah Thomas,65,25.5,11.5,3.9,8.8,44.8,1.3,3.4,37.9,2.4,2.8,83.2,0.7,1.8,2.6,4.1,0.8,0.1,1.6,12.2,2011
7,Ricky Rubio,41,34.2,10.6,3.4,9.5,35.7,0.8,2.3,34,3.1,3.8,80.3,0.5,3.7,4.2,8.2,2.2,0.2,3.2,15.4,2011
8,Kenneth Faried,46,22.5,10.2,3.9,6.7,58.6,0,0,0,2.4,3.6,66.5,3.1,4.6,7.7,0.8,0.7,1,1.2,15.3,2011
9,Iman Shumpert,59,28.9,9.5,3.6,9.1,40.1,0.8,2.7,30.6,1.5,1.8,79.8,0.7,2.4,3.2,2.8,1.7,0.1,1.9,9.6,2011
10,Chandler Parsons,63,28.6,9.5,3.9,8.7,45.2,1,2.8,33.7,0.7,1.2,55.1,1.4,3.3,4.8,2.1,1.2,0.5,1.3,11.4,2011
11,Derrick Williams,66,21.5,8.8,3.1,7.5,41.2,0.6,2.1,26.8,2.1,3,69.7,1.2,3.5,4.7,0.6,0.5,0.5,1.2,8.5,2011
12,Tristan Thompson,60,23.7,8.2,3.2,7.4,43.9,0,0,0,1.8,3.2,55.2,3.1,3.4,6.5,0.5,0.5,1,1.4,9.7,2011
13,Kawhi Leonard,64,24,7.9,3.1,6.3,49.3,0.6,1.7,37.6,1.1,1.4,77.3,1.6,3.5,5.1,1.1,1.3,0.4,0.7,11.6,2011
14,Jimmer Fredette,61,18.6,7.6,2.8,7.3,38.6,1.3,3.5,36.1,0.7,0.8,83.3,0.3,0.9,1.2,1.8,0.5,0,1.1,5.4,2011
15,Markieff Morris,63,19.5,7.4,2.8,6.9,39.9,0.7,2,34.7,1.2,1.7,71.7,1.1,3.3,4.4,1,0.7,0.7,1.1,8.4,2011
16,Alec Burks,59,15.9,7.2,2.6,6.1,42.9,0.3,0.8,33.3,1.8,2.4,72.7,1,1.3,2.2,0.9,0.5,0.1,0.9,5.9,2011
17,Norris Cole,65,19.4,6.8,2.7,6.9,39.3,0.3,1.2,27.6,1,1.3,77.6,0.3,1.1,1.4,2,0.7,0,1.6,4.8,2011
18,Ivan Johnson,56,16.7,6.4,2.5,4.9,51.3,0,0.1,33.3,1.3,1.8,72,1.2,2.9,4,0.6,0.8,0.3,1.2,7.9,2011
19,Gustavo Ayon,54,20.1,5.9,2.6,4.8,53.6,0,0,0,0.7,1.2,61.9,1.6,3.3,4.9,1.4,1,0.9,0.9,10.5,2011
20,Charles Jenkins,51,17.5,5.8,2.5,5.7,44.7,0.1,0.4,15,0.7,0.8,87.2,0.2,1.2,1.3,3.3,0.6,0.1,1.2,6.8,2011
21,Nikola Vucevic,51,15.9,5.5,2.6,5.7,45,0.1,0.2,37.5,0.4,0.7,52.9,1.7,3.1,4.8,0.6,0.4,0.7,0.6,7.9,2011
22,Donald Sloan,33,20.3,5.5,2.4,6,39.9,0.1,0.8,8,0.7,0.9,76.7,0.5,1.5,2,3.2,0.4,0.1,1.5,5.9,2011
23,Bismack Biyombo,63,23.1,5.2,2,4.4,46.4,0,0,0,1.1,2.3,48.3,1.8,4,5.8,0.4,0.3,1.8,1.1,8.9,2011
24,Tobias Harris,42,11.4,5,1.9,4,46.7,0.1,0.5,26.1,1,1.3,81.5,0.7,1.7,2.4,0.5,0.3,0.2,0.7,5.2,2011
25,Jeremy Tyler,42,13.5,4.9,2.1,5,42.1,0,0,0,0.7,1.2,55.8,1.3,2,3.3,0.4,0.4,0.5,0.9,5.2,2011
26,Jon Leuer,46,12.1,4.7,2.1,4.2,50.8,0.1,0.2,33.3,0.5,0.6,75,1,1.6,2.6,0.5,0.3,0.4,0.4,6,2011
27,Jan Vesely,57,18.9,4.7,2.1,3.8,53.7,0,0,0,0.6,1.1,53.2,1.8,2.6,4.4,0.8,0.7,0.6,1.1,7.8,2011
28,Chris Singleton,66,21.7,4.6,1.8,4.7,37.2,0.7,1.9,34.6,0.5,0.7,68.2,0.7,2.9,3.5,0.7,1.1,0.5,0.6,6.7,2011
29,Enes Freedom,66,13.2,4.6,1.8,3.6,49.6,0,0,0,1.1,1.6,66.7,1.6,2.6,4.2,0.1,0.3,0.3,0.8,6.4,2011
30,Jordan Williams,43,14.8,4.6,1.8,3.5,50.7,0,0,0,1,1.5,65.2,1.5,2.1,3.6,0.3,0.5,0.3,0.5,6.5,2011
31,Jordan Hamilton,26,9.9,4.4,1.8,4.3,43.2,0.7,1.8,36.2,0.1,0.2,40,0.4,2,2.4,0.8,0.2,0.1,0.6,4.7,2011
32,Josh Harrellson,37,14.6,4.4,1.7,4,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,6.6,2011
33,Andrew Goudelock,40,10.5,4.4,1.7,4.4,39.1,0.7,1.9,37.3,0.3,0.3,91.7,0.1,0.7,0.8,0.5,0.1,0,0.5,2.6,2011
34,Lavoy Allen,41,15.2,4.1,1.9,4.1,47.3,0,0,0,0.3,0.3,78.6,1.1,3,4.2,0.8,0.3,0.4,0.5,7.2,2011
35,Lance Thomas,42,15,4,1.4,3,45.2,0,0,0,1.2,1.5,83.9,1.2,1.8,3,0.3,0.2,0.2,0.6,5.2,2011
36,Cory Higgins,38,11.1,3.9,1.4,4.2,32.5,0.1,0.5,20,1.1,1.6,70,0.2,0.7,0.9,0.9,0.1,0.2,1,1.8,2011
37,Nolan Smith,44,12.3,3.8,1.5,4.1,37.2,0.3,1,28.9,0.5,0.6,71.4,0.4,0.9,1.3,1.4,0.4,0.1,1,3.3,2011
38,Shelvin Mack,64,12.2,3.6,1.4,3.4,40,0.2,0.7,28.6,0.7,0.9,71.2,0.2,1.3,1.4,2,0.4,0,0.8,4.5,2011
39,Malcolm Lee,19,12.8,3.3,1.2,3.1,39,0.1,0.5,20,0.7,0.9,82.4,0.5,0.9,1.4,1.6,0.4,0.2,0.9,3.9,2011
40,JaJuan Johnson,36,8.3,3.2,1.5,3.4,44.6,0,0,0,0.2,0.3,66.7,0.6,1.1,1.6,0.2,0.1,0.4,0.4,3.1,2011
41,Reggie Jackson,45,11.1,3.1,1.1,3.5,32.1,0.3,1.4,21,0.6,0.6,86.2,0.3,0.9,1.2,1.6,0.6,0,0.8,3.2,2011
42,Greg Stiemsma,55,13.9,2.9,1.2,2.2,54.5,0,0,0,0.5,0.7,70.7,0.9,2.3,3.2,0.5,0.7,1.5,0.6,7.1,2011
43,E'Twaun Moore,38,8.7,2.9,1.1,3,38.1,0.4,1.2,37.8,0.2,0.2,100,0.1,0.8,0.9,0.9,0.3,0.1,0.6,2.6,2011
44,Jeremy Pargo,44,9.6,2.9,1.1,3.4,33.3,0.2,0.9,26.3,0.4,0.6,59.3,0.3,0.6,0.8,1.3,0.3,0,1,1.7,2011
45,Jimmy Butler,42,8.5,2.6,0.8,1.9,40.5,0,0.3,18.2,1,1.3,76.8,0.5,0.8,1.3,0.3,0.3,0.1,0.3,2.9,2011
46,Mickell Gladness,26,9.7,2.2,1,2.3,42.4,0,0,0,0.2,0.5,50,0.5,1.7,2.2,0.2,0.2,0.8,0.3,3.7,2011
47,Cory Joseph,29,9.2,2,0.8,2.4,31.4,0.1,0.5,20,0.4,0.6,64.7,0.2,0.7,0.9,1.2,0.2,0.1,0.4,2.1,2011
1,Blake Griffin,82,38,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,0.8,0.5,2.7,25.6,2010
2,John Wall,69,37.8,16.4,5.8,14.1,40.9,0.5,1.7,29.6,4.4,5.7,76.6,0.5,4.1,4.6,8.3,1.8,0.5,3.8,18.1,2010
3,DeMarcus Cousins,81,28.5,14.1,5.3,12.4,43,0,0.2,16.7,3.4,5,68.7,2.7,6,8.6,2.5,1,0.8,3.3,15.2,2010
4,Jordan Crawford,42,24.5,11.7,4.6,11.9,38.4,0.8,3,25.8,1.7,2,86.9,0.7,1.8,2.5,2.8,0.9,0.1,2,8.4,2010
5,Gary Neal,80,21.1,9.8,3.6,7.9,45.1,1.6,3.9,41.9,1.1,1.3,80.8,0.3,2.2,2.5,1.2,0.3,0.1,1,8.3,2010
6,Landry Fields,82,31,9.7,3.6,7.3,49.7,1,2.7,39.3,1.4,1.8,76.9,1.3,5.1,6.4,1.9,1,0.2,1.3,13.7,2010
7,Greg Monroe,80,27.8,9.4,3.8,6.9,55.1,0,0,0,1.8,2.9,62.2,3.1,4.4,7.5,1.3,1.2,0.6,1,14.7,2010
8,Wesley Johnson,79,26.2,9,3.4,8.6,39.7,1.3,3.7,35.6,0.8,1.2,69.6,0.6,2.4,3,1.9,0.7,0.7,1.2,8.5,2010
9,Paul George,61,20.7,7.8,2.9,6.5,45.3,0.7,2.3,29.7,1.3,1.7,76.2,0.6,3.1,3.7,1.1,1,0.4,1.1,8.9,2010
10,Samardo Samuels,37,18.9,7.8,3,6.5,45.6,0,0.1,0,1.8,3,61.8,2,2.2,4.3,0.5,0.4,0.5,1.4,7.3,2010
11,Ed Davis,65,24.6,7.7,3.3,5.7,57.6,0,0,0,1.1,2,55.5,2.6,4.5,7.1,0.6,0.6,1,0.7,13,2010
12,Evan Turner,78,23,7.2,2.9,6.8,42.5,0.2,0.6,31.8,1.3,1.6,80.8,0.5,3.4,3.9,2,0.6,0.2,1,8.8,2010
13,Christian Eyenga,44,21.5,6.9,3,7,42.5,0.6,2.1,27.5,0.4,0.6,64.3,0.6,2.2,2.8,0.8,0.8,0.6,1.1,6.6,2010
14,Derrick Favors,78,19.7,6.8,2.8,5.3,51.7,0,0,0,1.3,2.2,59.5,2.2,3.1,5.3,0.5,0.4,0.9,1,9.4,2010
15,Eric Bledsoe,81,22.7,6.7,2.5,6,42.4,0.4,1.4,27.6,1.2,1.6,74.4,0.8,1.9,2.8,3.6,1.1,0.3,2.4,8.2,2010
16,Patrick Patterson,52,16.7,6.3,2.9,5.1,55.8,0,0,0,0.6,0.8,71.4,1.7,2.2,3.8,0.8,0.3,0.7,0.6,8.9,2010
17,Manny Harris,54,17.3,5.9,2,5.4,37.4,0.6,1.7,37,1.3,1.7,76.3,0.7,1.9,2.6,1.6,0.6,0.1,1.2,5.9,2010
18,Al-Farouq Aminu,81,17.9,5.6,2,5,39.4,0.6,1.8,31.5,1.1,1.5,77.3,0.9,2.4,3.3,0.7,0.7,0.3,1.3,6.1,2010
19,Nikola Pekovic,65,13.6,5.5,2.1,4,51.7,0,0,0,1.3,1.8,76.3,1.4,1.6,3,0.4,0.3,0.5,1.4,6,2010
20,Gordon Hayward,72,16.9,5.4,2,4.1,48.5,0.5,1,47.3,1,1.3,71.1,0.6,1.4,1.9,1.1,0.4,0.3,1,5.7,2010
21,Trevor Booker,65,16.4,5.3,2.1,3.9,54.9,0,0,0,1,1.6,67.3,1.5,2.4,3.9,0.5,0.4,0.6,0.6,8,2010
22,Gary Forbes,63,12.6,5.2,2,4.3,45.4,0.3,0.9,32.8,0.9,1.4,67.8,0.4,1.4,1.8,0.8,0.4,0.1,0.7,4.7,2010
23,Tiago Splitter,60,12.3,4.6,1.7,3.2,52.9,0,0,0,1.3,2.3,54.3,1.2,2.2,3.4,0.4,0.5,0.3,0.5,6.1,2010
24,Xavier Henry,38,13.9,4.3,1.7,4.2,40.6,0.1,0.4,11.8,0.9,1.4,63.5,0.2,0.7,1,0.5,0.3,0.1,0.3,2.8,2010
25,Larry Sanders,60,14.5,4.3,1.9,4.5,43.3,0,0,0,0.5,0.8,56,1,2,3,0.3,0.4,1.2,0.6,5.6,2010
26,Pooh Jeter,62,13.8,4.1,1.7,4.2,40.9,0.1,0.5,20,0.6,0.7,90.2,0.1,1,1.1,2.6,0.5,0,0.8,5,2010
27,Ekpe Udoh,58,17.8,4.1,1.7,3.8,43.7,0,0,0,0.7,1.1,65.6,1.4,1.7,3.1,0.7,0.4,1.5,0.8,6.4,2010
28,Semih Erden,41,14.5,4,1.5,2.7,55.9,0,0,0,1,1.5,65,0.9,2,2.9,0.5,0.4,0.6,0.8,5.8,2010
29,Luke Harangody,49,13.1,3.9,1.6,4.2,38.3,0.3,1.3,24.2,0.4,0.5,73.1,0.8,2.1,2.9,0.6,0.3,0.3,0.3,5.1,2010
30,Lazar Hayward,42,10,3.8,1.3,3.7,35.7,0.4,1.4,28.3,0.8,1,78.6,0.5,1.1,1.7,0.7,0.3,0.2,0.5,3.6,2010
31,Ben Uzoh,42,10.4,3.8,1.5,3.4,42.4,0.1,0.2,37.5,0.8,1.3,58.9,0.7,0.7,1.5,1.6,0.3,0.2,0.6,4.2,2010
32,Jeremy Evans,49,9.4,3.6,1.6,2.3,66.1,0,0,0,0.5,0.8,70.3,0.7,1.2,2,0.5,0.3,0.3,0.4,5.4,2010
33,Timofey Mozgov,45,11.6,3.6,1.4,3,47.4,0,0,0,0.8,1.2,71.2,1,1.7,2.7,0.3,0.3,0.6,0.8,4.9,2010
34,Greivis Vasquez,70,12.3,3.6,1.4,3.3,40.8,0.4,1.2,29.1,0.5,0.6,77.3,0.2,0.9,1,2.2,0.3,0.1,1,4,2010
35,Armon Johnson,38,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,0.1,0,1,2.5,2010
36,Quincy Pondexter,66,11.1,2.8,1.1,2.7,40.6,0.3,0.8,36,0.4,0.5,70.6,0.3,1,1.3,0.4,0.3,0.2,0.2,3,2010
37,Omer Asik,82,12.1,2.8,1,1.7,55.3,0,0,0,0.9,1.8,50.3,1.4,2.4,3.7,0.4,0.2,0.7,0.8,5.4,2010
38,Kevin Seraphin,58,10.9,2.7,1.1,2.5,44.9,0,0,0,0.4,0.5,71,1.4,1.2,2.6,0.2,0.3,0.5,0.7,3.9,2010
39,Ish Smith,43,10.3,2.3,1,2.7,37.4,0.1,0.2,30,0.3,0.5,57.1,0.2,0.9,1.1,1.8,0.4,0,0.8,3.1,2010
40,Mustafa Shakur,22,7.2,2.3,1,2.7,35.6,0,0.5,10,0.4,0.7,53.3,0.3,0.7,1,1.1,0.2,0.1,0.8,2,2010
41,Derrick Caracter,41,5.2,2,0.8,1.6,48.5,0,0,0,0.4,0.6,73.9,0.5,0.6,1,0.2,0.1,0.2,0.5,2.1,2010
42,Cole Aldrich,18,7.9,1,0.4,0.8,53.3,0,0,0,0.1,0.2,50,0.7,1.2,1.9,0.2,0.3,0.4,0.4,2.9,2010
1,Tyreke Evans,72,37.2,20.1,7.4,16.2,45.8,0.5,2,25.5,4.8,6.5,74.8,0.9,4.4,5.3,5.8,1.5,0.4,3,19.6,2009
2,Stephen Curry,80,36.2,17.5,6.6,14.3,46.2,2.1,4.8,43.7,2.2,2.5,88.5,0.6,3.9,4.5,5.9,1.9,0.2,3,19,2009
3,Brandon Jennings,82,32.6,15.5,5.5,14.8,37.1,1.8,4.7,37.4,2.7,3.3,81.7,0.6,2.8,3.4,5.7,1.3,0.2,2.4,13.8,2009
4,Marcus Thornton,73,25.6,14.5,5.5,12.1,45.1,1.6,4.3,37.4,2,2.4,81.4,1,1.9,2.9,1.6,0.8,0.2,1,11.7,2009
5,Jonny Flynn,81,28.9,13.5,4.9,11.8,41.7,1,2.7,35.8,2.8,3.3,82.6,0.3,2.1,2.4,4.4,1,0,2.9,11,2009
6,Darren Collison,76,27.8,12.4,4.9,10.4,47.7,0.6,1.5,40,1.9,2.3,85.1,0.5,2,2.5,5.7,1,0.1,2.7,13.3,2009
7,Omri Casspi,77,25.1,10.3,3.9,8.7,44.6,1,2.6,36.9,1.5,2.3,67.2,1,3.6,4.5,1.2,0.7,0.2,1.3,10.1,2009
8,James Harden,76,22.9,9.9,3.1,7.6,40.3,1.2,3.3,37.5,2.6,3.2,80.8,0.6,2.6,3.2,1.8,1.1,0.3,1.4,9.7,2009
9,Wesley Matthews,82,24.7,9.4,3.3,6.9,48.3,0.8,2,38.2,2,2.4,82.9,0.6,1.7,2.3,1.5,0.8,0.2,1.1,9.1,2009
10,Jonas Jerebko,80,27.9,9.3,3.6,7.5,48.1,0.5,1.4,31.3,1.6,2.2,71,2.4,3.6,6,0.7,1,0.4,1,11.7,2009
11,Taj Gibson,82,26.9,9,3.8,7.7,49.4,0,0,0,1.4,2.1,64.6,2.8,4.7,7.5,0.9,0.6,1.3,1.4,13.1,2009
12,Chase Budinger,74,20.1,8.9,3.4,7.6,44.1,1.2,3.4,36.9,0.9,1.2,77,0.5,2.5,3,1.2,0.5,0.1,0.6,8.5,2009
13,DeMar DeRozan,77,21.6,8.6,3.3,6.6,49.8,0.1,0.2,25,1.9,2.5,76.3,0.9,2,2.9,0.7,0.6,0.2,0.8,8.2,2009
