#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
14,Toney Douglas,56,19.4,8.6,3.2,7,45.8,1.2,3.1,38.9,1,1.2,80.9,0.7,1.2,1.9,2,0.8,0.1,1,8.3,2009
15,Terrence Williams,78,22.6,8.4,3.3,8.3,40.1,0.4,1.3,31,1.3,1.8,71.5,0.6,3.9,4.5,2.9,0.6,0.1,1.6,9.3,2009
16,Ty Lawson,65,20.3,8.3,3.1,6,51.5,0.5,1.3,41,1.6,2.2,75.7,0.6,1.3,1.9,3.1,0.7,0,1.3,9.4,2009
17,Jrue Holiday,73,24.2,8,3.2,7.1,44.2,0.8,2.2,39,0.9,1.2,75.6,0.8,1.8,2.6,3.8,1.1,0.2,2.1,9.4,2009
18,DeJuan Blair,82,18.2,7.8,3.4,6,55.6,0,0,0,1.1,2,54.7,2.4,4,6.4,0.8,0.6,0.5,1.4,11.1,2009
19,Sam Young,80,16.5,7.4,2.8,6.2,45.1,0.1,0.7,19.6,1.7,2.2,77.7,1,1.6,2.5,0.7,0.4,0.3,1.2,6.2,2009
20,AJ Price,56,15.4,7.3,2.6,6.3,41,1.1,3.1,34.5,1.1,1.3,80,0.2,1.4,1.6,1.9,0.6,0.1,1.1,6.4,2009
21,Rodrigue Beaubois,56,12.5,7.1,2.8,5.3,51.8,0.8,2,40.9,0.8,0.9,80.8,0.2,1.2,1.4,1.3,0.5,0.2,1,6.8,2009
22,Wayne Ellington,76,18.2,6.6,2.5,5.9,42.4,0.8,2.1,39.5,0.8,0.9,87.1,0.4,1.7,2.1,1,0.3,0.1,1,5.6,2009
23,Serge Ibaka,73,18.1,6.3,2.8,5.1,54.3,0,0,50,0.8,1.3,63,1.9,3.5,5.4,0.1,0.3,1.3,0.9,9.8,2009
25,Jordan Hill,47,13.3,5.2,2.1,4.3,49.3,0,0,0,1,1.4,67.6,1.6,2.1,3.7,0.4,0.3,0.4,0.6,6.8,2009
26,Austin Daye,69,13.3,5.1,2,4.3,46.4,0.4,1.4,30.5,0.7,0.8,82.1,0.5,2,2.5,0.5,0.4,0.4,0.7,5.7,2009
27,Garrett Temple,27,12.4,5,1.6,3.7,43.6,0.5,1.4,35.1,1.3,1.9,70,0.2,0.9,1.1,0.8,0.5,0.2,1,4,2009
28,Eric Maynor,81,15.7,4.7,1.9,4.5,41.8,0.3,0.9,31,0.6,0.9,72.2,0.3,1.3,1.6,3.3,0.5,0.1,1,6.3,2009
29,Jodie Meeks,60,12,4.7,1.7,4.5,38.8,0.7,2.2,31.8,0.5,0.7,79.5,0.2,1.5,1.7,0.7,0.3,0.1,0.4,4.1,2009
30,Chris Hunter,60,13.1,4.5,1.8,3.6,50.2,0,0.1,0,0.9,1.2,75.4,0.9,1.9,2.8,0.6,0.2,0.6,0.5,6.1,2009
31,James Johnson,65,11.6,3.9,1.5,3.2,45.2,0.2,0.7,32.6,0.8,1.1,72.9,0.5,1.4,2,0.7,0.3,0.7,1,4.6,2009
32,Dante Cunningham,63,11.2,3.9,1.7,3.4,49.5,0,0,0,0.5,0.8,64.6,0.9,1.7,2.5,0.2,0.4,0.3,0.2,5.1,2009
33,Derrick Brown,57,9.4,3.3,1.2,2.6,46.3,0,0.1,28.6,0.8,1.3,66.7,0.5,0.8,1.4,0.3,0.4,0.2,0.3,3.4,2009
34,Jeff Teague,71,10.1,3.2,1.3,3.2,39.6,0.1,0.5,21.9,0.6,0.7,83.7,0.1,0.9,0.9,1.7,0.5,0.2,0.7,3.8,2009
35,Hasheem Thabeet,68,13,3.1,1.1,1.9,58.8,0,0,0,0.8,1.4,58.1,1.3,2.3,3.6,0.2,0.2,1.3,0.6,6.3,2009
36,DaJuan Summers,44,9.2,3,1,3,35.4,0.3,1,35.7,0.6,0.9,71.1,0.3,0.7,1,0.4,0.2,0.2,0.4,2.3,2009
37,DeMarre Carroll,71,11.2,2.9,1.2,3.1,39.6,0,0.1,0,0.5,0.7,62.3,0.7,1.4,2.1,0.5,0.4,0.1,0.3,3.5,2009
38,Jon Brockman,52,12.6,2.8,1.1,2,53.4,0,0,0,0.7,1.2,59.7,2,2.1,4.1,0.4,0.3,0.1,0.4,5.9,2009
39,Earl Clark,51,7.5,2.7,1.1,3,37.1,0,0.1,40,0.5,0.7,72.2,0.4,0.9,1.2,0.4,0.1,0.3,0.5,2.3,2009
40,Jeff Ayres,39,10.4,2.7,1.1,1.7,66.2,0,0,0,0.5,0.5,90,0.6,1.9,2.5,0,0.2,0.4,0.3,4.9,2009
41,Gerald Henderson,43,8.3,2.6,0.9,2.4,35.6,0.1,0.4,21.1,0.8,1.1,74.5,0.3,0.9,1.3,0.3,0.2,0.2,0.3,2.5,2009
42,Marcus Landry,18,6.2,2.4,0.9,2.4,37.2,0.5,1.6,32.1,0.2,0.3,60,0.3,0.8,1.1,0,0.1,0.1,0.3,1.7,2009
43,Lester Hudson,25,5.2,2.3,0.8,2.1,39.6,0.2,0.6,31.3,0.4,0.5,84.6,0.3,0.4,0.7,0.5,0.3,0.1,0.6,2.1,2009
44,Cedric Jackson,12,6.3,1.7,0.5,1.7,30,0.1,0.5,16.7,0.6,1,58.3,0.2,0.5,0.7,1.2,0.3,0.2,0.9,1.4,2009
1,O.J. Mayo,82,38,18.5,6.9,15.6,43.8,1.8,4.6,38.4,3,3.4,87.9,0.7,3.1,3.8,3.2,1.1,0.2,2.8,14.7,2008
2,Derrick Rose,81,37,16.8,7.1,14.9,47.5,0.2,0.9,22.2,2.4,3.1,78.8,1.2,2.7,3.9,6.3,0.8,0.2,2.5,17.1,2008
3,Eric Gordon,78,34.3,16.1,5.3,11.6,45.6,1.7,4.3,38.9,3.8,4.5,85.4,0.6,2,2.6,2.8,1,0.4,2.1,13.8,2008
4,Russell Westbrook,82,32.5,15.3,5.3,13.4,39.8,0.4,1.6,27.1,4.3,5.2,81.5,2.2,2.7,4.9,5.3,1.3,0.2,3.3,14.7,2008
5,Michael Beasley,81,24.8,13.9,5.6,11.8,47.2,0.4,1,40.7,2.3,3,77.2,1.4,4.1,5.4,1,0.5,0.5,1.5,12.9,2008
6,Brook Lopez,82,30.5,13,5.5,10.3,53.1,0,0,0,2.1,2.6,79.3,2.7,5.4,8.1,1,0.5,1.8,1.8,17.4,2008
7,Marc Gasol,82,30.7,11.9,4.3,8.1,53,0,0,0,3.4,4.6,73.3,2.5,4.9,7.4,1.7,0.8,1.1,2,15.9,2008
8,D.J. Augustin,72,26.5,11.8,3.7,8.6,43,1.5,3.4,43.9,2.9,3.2,89.3,0.2,1.6,1.8,3.5,0.6,0,1.7,10.8,2008
9,Kevin Love,81,25.3,11.1,3.9,8.5,45.9,0,0.2,10.5,3.3,4.1,78.9,3.4,5.7,9.1,1,0.4,0.6,1.5,15.3,2008
10,Jason Thompson,82,28.1,11.1,4.3,8.7,49.7,0,0.1,0,2.4,3.5,69.2,2.9,4.5,7.4,1.1,0.6,0.7,1.8,13.6,2008
11,Rudy Fernandez,78,25.6,10.4,3.4,8.1,42.5,2,5.1,39.9,1.5,1.8,83.9,0.6,2.1,2.7,2,0.9,0.2,1.1,10.1,2008
12,Anthony Morrow,67,22.6,10.1,3.8,8,47.8,1.3,2.7,46.7,1.2,1.4,87,1.2,1.8,3,1.2,0.5,0.2,0.8,9.9,2008
13,Mario Chalmers,82,32,10,3.4,8.1,42,1.4,3.8,36.7,1.8,2.4,76.7,0.5,2.3,2.8,4.9,2,0.1,2,12.5,2008
14,Greg Oden,61,21.5,8.9,3.2,5.8,56.4,0,0,0,2.4,3.7,63.7,2.8,4.2,7,0.5,0.4,1.1,1.4,12.6,2008
15,Courtney Lee,77,25.2,8.4,3.2,7,45,1.1,2.6,40.4,1,1.2,83,0.2,2.1,2.3,1.2,1,0.2,0.9,8.1,2008
16,Brandon Rush,75,24,8.1,3.2,7.7,42.3,1,2.8,37.3,0.6,0.9,69.7,0.5,2.7,3.1,0.9,0.5,0.5,1,7.4,2008
17,Anthony Randolph,63,17.9,7.9,3.2,6.8,46.2,0,0.1,0,1.6,2.2,71.6,2,3.7,5.8,0.8,0.7,1.2,1.3,10.7,2008
18,Marreese Speights,79,16,7.7,3.2,6.4,50.2,0,0.1,25,1.3,1.7,77.3,1.6,2.2,3.7,0.4,0.3,0.7,0.6,8.7,2008
19,Ryan Anderson,66,19.9,7.4,2.4,6.2,39.3,1,2.9,36.5,1.5,1.8,84.5,1.6,3.1,4.7,0.8,0.7,0.3,1,8.9,2008
20,Luc Mbah a Moute,82,25.8,7.2,2.8,6,46.2,0,0,0,1.7,2.3,72.9,2.3,3.6,5.9,1.1,1.1,0.5,1.2,10.8,2008
21,Roy Hibbert,70,14.4,7.1,2.8,6,47.1,0,0,0,1.4,2.1,66.7,1.6,1.8,3.5,0.7,0.3,1.1,0.8,7.9,2008
22,JaVale McGee,75,15.2,6.5,2.5,5.2,49.4,0,0,0,1.4,2.2,66,1.6,2.3,3.9,0.3,0.4,1,0.8,8,2008
23,George Hill,77,16.5,5.7,1.9,4.8,40.3,0.3,0.9,32.9,1.5,1.9,78.1,0.4,1.7,2.1,1.8,0.6,0.3,1,6.1,2008
24,Mike Taylor,51,15.1,5.7,2.2,5.2,41.2,0.3,0.8,32.5,1.1,1.6,69.1,0.4,1.3,1.7,2.1,0.7,0,1.4,5.2,2008
25,Darrell Arthur,76,19.3,5.6,2.5,5.7,43.8,0,0,0,0.5,0.8,66.7,1.4,3.1,4.6,0.6,0.7,0.7,0.6,7.9,2008
26,Nicolas Batum,79,18.4,5.4,2,4.6,44.6,0.8,2.1,36.9,0.5,0.7,80.8,1.1,1.7,2.8,0.9,0.6,0.5,0.6,7,2008
27,Kyle Weaver,56,20.8,5.3,2,4.4,45.9,0.6,1.7,34.4,0.7,1,70.7,0.6,1.8,2.3,1.8,0.8,0.4,1.2,6.8,2008
28,Bobby Brown,68,13.7,5.3,2.1,5.3,39.2,0.7,1.9,34.6,0.5,0.6,79.1,0.2,0.6,0.8,1.7,0.3,0,0.9,3.9,2008
29,Chris Douglas-Roberts,44,13.3,4.9,1.8,4,46,0.1,0.3,25,1.2,1.4,82.3,0.3,0.8,1.1,1.2,0.3,0.2,0.7,4.5,2008
30,Joe Alexander,59,12.1,4.7,1.7,4.2,41.6,0.3,0.8,34.8,1,1.4,69.9,0.7,1.2,1.9,0.7,0.3,0.5,0.9,4.4,2008
31,Kosta Koufos,48,11.8,4.7,2,3.9,50.8,0,0,0,0.8,1.1,70.6,1,1.8,2.9,0.4,0.3,0.6,0.5,6.1,2008
32,Goran Dragic,55,13.2,4.5,1.6,4.1,39.3,0.4,1,37,0.9,1.2,76.9,0.6,1.3,1.9,2,0.5,0.1,1.3,4.9,2008
33,DeAndre Jordan,53,14.5,4.3,1.8,2.8,63.3,0,0,0,0.8,2.1,38.5,1.4,3.1,4.5,0.2,0.2,1.1,0.8,7.2,2008
33,Jerryd Bayless,53,12.4,4.3,1.3,3.6,36.5,0.1,0.5,25.9,1.6,1.9,80.6,0.2,0.9,1.1,1.5,0.3,0,1.1,3.5,2008
35,Roko Ukic,72,12.4,4.2,1.7,4.5,38,0.2,0.9,17.7,0.6,0.8,73.3,0.4,0.7,1,2.1,0.4,0,0.8,3.9,2008
36,JJ Hickson,62,11.4,4,1.6,3.1,51.5,0,0,0,0.7,1.1,67.2,0.8,1.8,2.7,0.1,0.2,0.5,0.7,4.9,2008
37,Rob Kurz,40,11.1,3.9,1.3,3.3,38.9,0.4,1,39.5,1,1.3,80,0.8,1.2,2,0.5,0.4,0.5,0.4,4.6,2008
38,Donte Greene,55,13.2,3.8,1.4,4.3,32.6,0.5,1.8,26,0.5,0.6,85.3,0.3,1.2,1.6,0.5,0.3,0.3,0.7,2.8,2008
39,Robin Lopez,60,10.2,3.2,1.2,2.3,51.8,0,0,0,0.8,1.1,69.1,0.9,1.1,2,0.1,0.2,0.7,0.5,4.2,2008
40,Anthony Tolliver,19,10.9,2.7,1,3.4,29.2,0.5,2.2,22,0.3,0.5,50,0.6,1.5,2.2,0.9,0.3,0.1,0.4,3.1,2008
41,Sean Singletary,37,8.2,2.4,0.8,2.3,36.5,0.3,0.7,40,0.5,0.6,85.7,0.3,0.7,0.9,0.8,0.3,0,0.6,2.3,2008
42,Darnell Jackson,51,8.4,1.9,0.7,1.7,43,0,0,0,0.5,0.7,68.6,0.6,1.1,1.7,0.2,0.2,0.1,0.3,2.6,2008
1,Kevin Durant,80,34.6,20.3,7.3,17.1,43,0.7,2.6,28.8,4.9,5.6,87.3,0.9,3.5,4.4,2.4,1,0.9,2.9,15.6,2007
2,Al Thornton,79,27.3,12.7,4.7,11,42.9,0.5,1.6,33.1,2.7,3.6,74.3,1.2,3.3,4.5,1.2,0.6,0.5,1.6,10.8,2007
3,Juan Carlos Navarro,82,25.8,10.9,3.8,9.3,40.2,1.9,5.3,36.1,1.5,1.8,84.9,0.4,2.1,2.6,2.2,0.6,0,1.6,8.8,2007
4,Jeff Green,80,28.2,10.5,4,9.4,42.7,0.3,1,27.6,2.2,3,74.4,1.3,3.5,4.7,1.5,0.6,0.6,2,9.8,2007
5,Luis Scola,82,24.7,10.3,4.2,8.2,51.5,0,0,0,1.9,2.9,66.8,2.1,4.3,6.4,1.3,0.7,0.2,1.3,12.8,2007
6,Al Horford,81,31.4,10.1,4.1,8.2,49.9,0,0.1,0,1.9,2.6,73.1,3.1,6.6,9.7,1.5,0.7,0.9,1.7,16.5,2007
7,Mike Conley,53,26.1,9.4,3.6,8.3,42.8,0.6,1.7,33,1.7,2.3,73.2,0.4,2.2,2.6,4.2,0.8,0,1.7,10,2007
8,Daequan Cook,59,24.4,8.8,3.3,8.7,38.1,1.3,4,33.2,0.8,1,82.5,0.3,2.7,3,1.3,0.4,0.2,1.1,7,2007
9,Yi Jianlian,66,25,8.6,3.3,7.9,42.1,0.1,0.3,28.6,1.8,2.2,84.1,1.6,3.6,5.2,0.8,0.5,0.8,1.4,9.7,2007
10,Jamario Moon,78,27.8,8.5,3.6,7.4,48.5,0.5,1.6,32.8,0.8,1.1,74.1,1.2,5,6.2,1.2,1,1.4,0.7,13.5,2007
11,Thaddeus Young,74,21,8.2,3.6,6.6,53.9,0.1,0.3,31.6,1,1.4,73.8,1.6,2.6,4.2,0.8,1,0.1,0.9,10.1,2007
12,Carl Landry,42,16.9,8.1,3.2,5.2,61.6,0,0,0,1.7,2.6,66.1,2.3,2.6,4.9,0.5,0.4,0.2,0.6,10.6,2007
13,Rodney Stuckey,57,19,7.6,2.7,6.7,40.1,0.1,0.3,18.8,2.2,2.7,81.4,0.6,1.7,2.3,2.8,0.9,0.1,1.4,7.8,2007
14,Nick Young,75,15.4,7.5,2.8,6.4,43.9,0.5,1.3,40,1.3,1.7,81.5,0.3,1.2,1.5,0.8,0.5,0.1,1.3,5.3,2007
15,Wilson Chandler,35,19.6,7.3,3,6.9,43.8,0.3,0.9,30,1,1.5,63,1.1,2.5,3.6,0.9,0.4,0.5,0.8,7.5,2007
16,Joakim Noah,74,20.7,6.6,2.4,5,48.2,0,0,0,1.8,2.6,69.1,2.4,3.3,5.6,1.1,0.9,0.9,1.2,10.6,2007
17,Corey Brewer,79,22.8,5.8,2.3,6.2,37.4,0.1,0.5,19.4,1.1,1.4,80,1,2.7,3.7,1.4,1,0.3,1.1,6.9,2007
18,Jared Dudley,73,19,5.8,2.2,4.8,46.8,0.1,0.6,22,1.2,1.6,73.7,1.7,2.3,3.9,1.1,0.8,0.1,0.7,8.1,2007
19,Sean Williams,73,17.5,5.6,2.2,4.2,53.8,0,0,0,1.1,1.8,60.9,1.6,2.8,4.4,0.4,0.4,1.5,1,8.6,2007
20,Javaris Crittenton,50,13.6,5.6,2,4.7,42.1,0.2,0.7,27,1.4,2.1,69.2,0.5,1.7,2.2,1,0.4,0,1.1,4.8,2007
21,Aaron Brooks,51,11.9,5.2,1.8,4.4,41.3,0.7,2.1,33,0.8,1,85.7,0.3,0.8,1.1,1.7,0.3,0.1,0.9,4.7,2007
22,Spencer Hawes,71,13.1,4.7,2.1,4.5,45.9,0.1,0.3,19,0.5,0.8,65.5,1,2.3,3.2,0.6,0.2,0.6,0.8,5.8,2007
23,Glen Davis,69,13.6,4.5,1.6,3.2,48.4,0,0,0,1.4,2.2,66,1.4,1.6,3,0.4,0.4,0.3,0.9,5.4,2007
24,Jason Smith,76,14.6,4.5,1.9,4.1,45.5,0.1,0.2,28.6,0.7,1.1,65.9,1,2,3,0.3,0.3,0.7,0.6,5.5,2007
25,Aaron Gray,61,10,4.3,1.7,3.3,50.5,0,0,0,0.9,1.6,56.6,1.1,1.6,2.8,0.7,0.3,0.3,0.9,5,2007
26,Acie Law,56,15.4,4.2,1.7,4.2,40.1,0.1,0.6,20.6,0.7,0.9,79.2,0.2,0.8,1,2,0.5,0,1,4,2007
27,Nick Fazekas,26,10.3,4.1,1.8,3.2,56.1,0,0.1,0,0.6,0.8,68.2,1.3,2.1,3.4,0.4,0.3,0.4,0.5,6.5,2007
28,Brandan Wright,38,9.9,4,1.6,2.9,55.4,0,0,0,0.7,1.1,67.5,1,1.6,2.6,0.2,0.2,0.6,0.3,5.6,2007
29,Julian Wright,57,11.2,3.9,1.6,3,53.3,0.2,0.4,41.7,0.6,0.9,63.5,0.6,1.5,2.1,0.7,0.5,0.2,0.6,5.1,2007
30,C.J. Watson,32,11.5,3.7,1.3,3.2,42.6,0.3,0.8,34.6,0.7,0.9,79.3,0.4,0.6,1,1.1,0.5,0,0.6,3.7,2007
31,Arron Afflalo,75,12.9,3.7,1.3,3.2,41.1,0.1,0.6,20.8,0.9,1.2,78.2,0.5,1.3,1.8,0.7,0.4,0.1,0.5,4.1,2007
32,Oleksiy Pecherov,35,9.1,3.6,1.3,3.6,35.2,0.5,1.7,28.3,0.6,0.9,64.5,0.6,1.3,1.9,0.2,0.2,0.1,0.5,2.9,2007
33,Jermareo Davidson,38,8.5,3.2,1.3,3.3,40.8,0,0,0,0.5,0.7,64.3,0.6,1.1,1.6,0.3,0.2,0.4,0.4,3.1,2007
34,Chris Richard,52,10.7,1.9,0.8,1.7,47.1,0,0,0,0.3,0.5,59.3,1,1.6,2.6,0.3,0.2,0.2,0.5,3.7,2007
35,Dominic McGuire,70,9.9,1.3,0.6,1.5,37.9,0,0.1,16.7,0.2,0.5,43.8,0.8,1.2,2,0.6,0.3,0.4,0.6,2.8,2007
36,Demetris Nichols,14,3.1,1.1,0.4,1.6,26.1,0.2,0.9,23.1,0,0,0,0,0.4,0.4,0.1,0,0.2,0.3,0.2,2007
37,Mario West,64,4.2,0.9,0.3,0.8,42.9,0,0.1,0,0.3,0.4,65.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,1.4,2007
1,Brandon Roy,57,35.4,16.8,6.1,13.4,45.6,1,2.6,37.7,3.5,4.2,83.8,1,3.4,4.4,4,1.2,0.2,2,16.5,2006
2,Adam Morrison,78,29.8,11.8,4.6,12.1,37.6,1.1,3.3,33.7,1.5,2.2,71,0.7,2.3,2.9,2.1,0.4,0.1,1.7,7.4,2006
3,Andrea Bargnani,65,25.1,11.6,4.1,9.6,42.7,1.5,4.1,37.3,1.8,2.2,82.4,0.8,3.1,3.9,0.8,0.5,0.8,1.6,10,2006
4,Rudy Gay,78,27,10.8,4.1,9.7,42.2,0.7,1.8,36.4,1.9,2.7,72.7,1.2,3.3,4.5,1.3,0.9,0.9,1.8,10.3,2006
5,Randy Foye,82,22.9,10.1,3.7,8.4,43.4,0.8,2.3,36.8,2,2.3,85.4,0.6,2.1,2.7,2.8,0.6,0.3,1.9,9.6,2006
6,Walter Herrmann,48,19.5,9.2,3.6,6.9,52.7,1.1,2.4,46.1,0.9,1.1,77.4,0.6,2.3,2.9,0.5,0.4,0.1,0.7,9,2006
7,LaMarcus Aldridge,63,22.1,9,3.8,7.6,50.3,0,0,0,1.3,1.8,72.2,2.3,2.7,5,0.4,0.3,1.2,0.7,10.8,2006
8,Jorge Garbajosa,67,28.5,8.5,3.3,7.9,42,1,2.9,34.2,0.9,1.2,73.1,0.7,4.2,4.9,1.9,1.2,0.2,1,10.8,2006
9,Tarence Kinsey,48,20.1,7.7,2.9,6.3,45.7,0.3,1,28.3,1.6,2,79.6,0.6,1.4,2,0.9,1.1,0,1,6.9,2006
10,Craig Smith,82,18.7,7.4,3,5.6,53.1,0,0.1,0,1.4,2.3,62.4,1.8,3.3,5.1,0.6,0.6,0.2,0.9,9.5,2006
11,Kelenna Azubuike,41,16.3,7.1,2.4,5.4,44.5,0.8,1.9,43,1.5,1.9,78.2,0.6,1.7,2.3,0.7,0.5,0.2,1,6.5,2006
12,Paul Millsap,82,18,6.8,2.5,4.9,52.5,0,0,33.3,1.7,2.5,67.3,2.2,2.9,5.2,0.8,0.8,0.9,1.1,10.2,2006
13,Marcus Williams,79,16.6,6.8,2.6,6.7,39.5,0.6,2.1,28.2,0.9,1.1,84.7,0.4,1.7,2.1,3.3,0.4,0,1.8,6.5,2006
14,Rodney Carney,67,17.4,6.6,2.7,5.9,46.4,0.4,1.1,34.7,0.8,1.3,60.9,0.6,1.3,1.9,0.4,0.6,0.3,0.6,5.5,2006
15,Rajon Rondo,78,23.5,6.4,2.4,5.8,41.8,0.1,0.4,20.7,1.5,2.4,64.7,0.9,2.8,3.7,3.8,1.6,0.1,1.8,9.8,2006
16,Allan Ray,47,15.1,6.2,2.1,5.5,38.6,1,2.5,41.4,0.9,1.2,76.4,0.4,1.1,1.5,0.9,0.4,0.1,0.9,4.5,2006
17,Ersan Ilyasova,66,14.7,6.1,2.1,5.5,38.3,0.8,2.2,36.5,1.1,1.3,78.7,0.9,2,2.9,0.7,0.4,0.3,0.8,5.9,2006
18,JJ Redick,42,14.8,6,1.9,4.6,41,0.9,2.3,38.8,1.3,1.4,90,0.2,1,1.2,0.9,0.3,0,0.5,5,2006
19,Shelden Williams,81,18.7,5.5,2,4.5,45.5,0,0,50,1.4,1.8,76.4,1.6,3.8,5.4,0.5,0.6,0.5,1.2,8.5,2006
20,Tyrus Thomas,72,13.4,5.2,1.9,3.9,47.5,0,0,0,1.5,2.4,60.6,1.2,2.5,3.7,0.6,0.6,1.1,1.3,6.9,2006
21,Renaldo Balkman,68,15.6,4.9,2,4,50.5,0.1,0.4,18.5,0.8,1.3,56.7,1.4,2.9,4.3,0.6,0.8,0.6,0.7,8.1,2006
22,Ronnie Brewer,56,12.1,4.6,1.8,3.4,52.8,0,0.2,0,1,1.5,67.5,0.7,0.7,1.3,0.4,0.7,0.1,0.4,4.6,2006
23,Daniel Gibson,60,16.5,4.6,1.6,3.9,42.4,0.9,2.1,41.9,0.5,0.7,71.8,0.5,1.1,1.5,1.2,0.4,0.1,0.7,4.7,2006
24,Mickael Gelabale,70,17.7,4.6,1.7,3.8,46.2,0.2,0.7,23.4,0.9,1.2,80.5,0.8,1.6,2.5,0.8,0.3,0.3,0.7,5.6,2006
25,Mardy Collins,52,14.9,4.5,1.7,4.4,38.2,0.3,0.9,27.7,0.9,1.6,58.5,0.5,1.5,2,1.6,0.6,0.1,1.1,4.3,2006
26,Jordan Farmar,72,15.1,4.4,1.7,4.1,42.2,0.6,1.9,32.8,0.4,0.5,71.1,0.3,1.3,1.7,1.9,0.6,0.1,1,5.2,2006
27,Yakhouba Diawara,64,18.4,4.4,1.6,4.6,34.2,0.8,2.7,28.8,0.5,0.8,66,0.4,1.3,1.7,0.9,0.5,0.1,0.6,3.7,2006
28,Alexander Johnson,59,12.8,4.4,1.5,2.9,53.8,0,0,0,1.3,2,66.1,0.8,2.2,3.1,0.3,0.4,0.6,0.8,6,2006
29,Leon Powe,63,11.4,4.2,1.3,2.8,44.6,0,0,0,1.7,2.3,73.6,1.5,1.9,3.4,0.2,0.2,0.3,0.7,5.4,2006
30,Josh Boone,61,11,4.2,1.6,2.8,57.9,0,0,0,0.9,1.7,54.4,1,1.8,2.9,0.2,0.2,0.3,0.5,5.2,2006
31,Lynn Greer,41,10.5,4.1,1.5,3.4,43.3,0.4,1.3,34.6,0.7,0.8,84.4,0,0.6,0.7,1.3,0.4,0,0.4,4,2006
32,Shawne Williams,46,12.1,3.9,1.6,3.5,46.9,0.4,1.1,36.5,0.2,0.4,55,0.7,1.1,1.8,0.5,0.1,0.2,0.5,3.9,2006
33,Sergio Rodriguez,67,12.9,3.7,1.5,3.6,42.3,0.4,1.3,28.2,0.3,0.4,80.8,0.3,1.1,1.4,3.3,0.5,0,1.1,5.6,2006
34,Thabo Sefolosha,71,12.2,3.6,1.5,3.6,42.6,0.2,0.6,35.7,0.3,0.6,51.1,0.5,1.7,2.2,0.8,0.5,0.2,0.8,4,2006
35,Chris Quinn,42,9.7,3.4,1.1,3.1,36.6,0.5,1.4,35.1,0.6,0.9,67.6,0.1,0.6,0.7,1.5,0.4,0,0.5,3.2,2006
36,Solomon Jones,58,11.5,3.3,1.1,2.2,50.8,0,0,0,1,1.3,78.7,0.8,1.5,2.3,0.2,0.2,0.7,0.4,4.9,2006
37,Hilton Armstrong,56,11.3,3.1,1.2,2.2,54.4,0,0,0,0.7,1.2,59.7,1,1.6,2.7,0.2,0.2,0.5,0.6,4.5,2006
38,Cedric Simmons,43,12.4,2.9,1.3,3.1,41.7,0,0,0,0.4,0.8,48.5,1,1.5,2.5,0.3,0.2,0.5,0.5,3.7,2006
39,Hassan Adams,61,8.1,2.9,1.2,2.2,55.6,0,0,0,0.4,0.6,66.7,0.6,0.7,1.3,0.2,0.3,0.1,0.4,3.1,2006
40,Quincy Douby,42,8.5,2.8,1.1,3,38.1,0.3,1.2,24,0.3,0.4,73.3,0.3,0.6,0.9,0.4,0.4,0.1,0.4,2.2,2006
41,David Noel,68,11.6,2.7,1,2.6,36.7,0.3,0.8,32.1,0.5,0.6,86,0.6,1.2,1.8,1,0.4,0.1,0.6,3.6,2006
42,Bobby Jones,44,7.6,2.5,1,2.1,46.2,0,0.2,11.1,0.5,0.9,56.1,0.5,0.8,1.3,0.4,0.3,0,0.4,2.5,2006
43,Andre Brown,38,7.1,2.4,1.1,1.9,56.8,0,0,0,0.2,0.4,60,0.7,1.3,1.9,0.1,0.2,0.1,0.8,2.9,2006
44,Dee Brown,49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.4,0.1,0.6,2.8,2006
45,Steve Novak,35,5.5,1.5,0.5,1.4,36,0.4,1.1,33.3,0.1,0.1,100,0.1,0.6,0.7,0.2,0.1,0,0.1,1.5,2006
